"Date","Demographic.Level","Not.at.all","Somewhat","Moderately","Very","Extremely"
"18.3.24","National",37,28,19,11,5
"18.3.24","Female",32,30,21,11,6
"18.3.24","Male",41,27,16,11,4
"18.3.24","18-24",32,35,13,14,7
"18.3.24","25-49",28,34,21,11,6
"18.3.24","50-64",38,25,21,10,5
"18.3.24","65+",48,22,15,11,4
"18.3.24","Asian",22,32,23,16,7
"18.3.24","Black",12,27,12,49,0
"18.3.24","Mixed",43,22,23,11,1
"18.3.24","Other Ethnicity",38,25,18,2,17
"18.3.24","White",39,29,18,9,5
"18.3.24","Brexit Party",27,15,43,9,6
"18.3.24","Conservatives",40,27,15,11,6
"18.3.24","Greens",50,22,12,11,6
"18.3.24","Labour",31,31,21,11,5
"18.3.24","Liberal Democrats",37,27,22,12,3
"18.3.24","Other Party",40,23,26,4,7
"18.3.24","SNP",34,35,15,14,2
"18.3.24","Female 18-24",29,37,13,14,7
"18.3.24","Female 25-49",26,33,23,12,7
"18.3.24","Female 50-64",32,28,23,12,6
"18.3.24","Female 65+",41,24,19,10,6
"18.3.24","Male 18-24",35,33,12,14,6
"18.3.24","Male 25-49",31,34,20,10,6
"18.3.24","Male 50-64",45,23,18,9,5
"18.3.24","Male 65+",55,19,11,13,1
"18.3.24","Female Asian",15,36,28,15,5
"18.3.24","Female Black",14,28,21,37,0
"18.3.24","Female Mixed",29,35,24,12,0
"18.3.24","Female Other",12,25,35,4,25
"18.3.24","Female White",35,29,20,10,6
"18.3.24","Male Asian",28,27,19,17,8
"18.3.24","Male Black",11,26,6,58,0
"18.3.24","Male Mixed",57,9,21,11,3
"18.3.24","Male Other",53,26,8,0,13
"18.3.24","Male White",44,28,17,7,4
"18.3.24","Female Brexit Party",15,16,25,26,17
"18.3.24","Female Conservatives",33,30,18,11,8
"18.3.24","Female Greens",51,21,11,14,3
"18.3.24","Female Labour",29,30,24,12,5
"18.3.24","Female Liberal Democrats",34,27,24,9,6
"18.3.24","Female Other",39,19,36,0,6
"18.3.24","Female SNP",33,38,18,9,2
"18.3.24","Male Brexit Party",33,14,52,0,0
"18.3.24","Male Conservatives",47,25,12,11,5
"18.3.24","Male Greens",49,24,13,7,8
"18.3.24","Male Labour",34,32,18,11,6
"18.3.24","Male Liberal Democrats",41,26,20,14,0
"18.3.24","Male Other",40,26,20,6,7
"18.3.24","Male SNP",35,31,12,19,2
"18.3.24","18-24 Asian",23,23,5,20,29
"18.3.24","18-24 Black",23,8,5,63,0
"18.3.24","18-24 Mixed",63,19,18,0,0
"18.3.24","18-24 Other",16,38,46,0,0
"18.3.24","18-24 White",33,40,13,11,4
"18.3.24","25-49 Asian",21,36,25,16,2
"18.3.24","25-49 Black",17,26,20,36,0
"18.3.24","25-49 Mixed",11,18,23,42,5
"18.3.24","25-49 Other",24,12,10,6,49
"18.3.24","25-49 White",31,35,21,8,6
"18.3.24","50-64 Asian",18,29,31,15,7
"18.3.24","50-64 Black",20,43,4,33,0
"18.3.24","50-64 Mixed",26,45,30,0,0
"18.3.24","50-64 Other",37,0,34,0,28
"18.3.24","50-64 White",41,24,20,9,5
"18.3.24","65+ Asian",30,28,29,13,0
"18.3.24","65+ Black",1,25,11,62,0
"18.3.24","65+ Mixed",57,21,22,0,0
"18.3.24","65+ Other",51,36,13,0,0
"18.3.24","65+ White",52,20,15,9,5
"18.3.24","18-24 Brexit Party",94,1,5,0,0
"18.3.24","18-24 Conservatives",20,39,14,10,17
"18.3.24","18-24 Greens",79,0,0,21,0
"18.3.24","18-24 Labour",29,39,16,11,5
"18.3.24","18-24 Liberal Democrats",49,15,5,30,0
"18.3.24","18-24 Other",7,73,21,0,0
"18.3.24","18-24 SNP",34,35,0,31,0
"18.3.24","25-49 Brexit Party",49,17,33,0,1
"18.3.24","25-49 Conservatives",29,38,16,10,7
"18.3.24","25-49 Greens",48,22,15,4,10
"18.3.24","25-49 Labour",25,33,23,14,6
"18.3.24","25-49 Liberal Democrats",25,30,33,8,4
"18.3.24","25-49 Other",42,25,25,7,0
"18.3.24","25-49 SNP",39,37,10,10,4
"18.3.24","50-64 Brexit Party",26,24,42,7,0
"18.3.24","50-64 Conservatives",39,24,19,10,7
"18.3.24","50-64 Greens",23,41,15,21,0
"18.3.24","50-64 Labour",38,25,23,11,4
"18.3.24","50-64 Liberal Democrats",48,23,17,9,4
"18.3.24","50-64 Other",40,21,14,0,25
"18.3.24","50-64 SNP",23,42,22,11,2
"18.3.24","65+ Brexit Party",0,7,57,19,17
"18.3.24","65+ Conservatives",51,20,12,13,4
"18.3.24","65+ Greens",69,14,9,0,8
"18.3.24","65+ Labour",47,26,19,6,2
"18.3.24","65+ Liberal Democrats",44,29,14,13,0
"18.3.24","65+ Other",46,10,39,5,0
"18.3.24","65+ SNP",33,19,34,14,0
"18.3.24","Asian Brexit Party",76,0,19,5,0
"18.3.24","Asian Conservatives",15,36,20,14,15
"18.3.24","Asian Greens",100,0,0,0,0
