"Date","Demographic.Level","Not.at.all","Somewhat","Moderately","Very.much.so","Completely"
"18.3.24","National",30,41,23,5,1
"18.3.24","Female",32,40,22,4,1
"18.3.24","Male",28,41,24,6,1
"18.3.24","18-24",34,39,18,5,4
"18.3.24","25-49",29,38,25,7,1
"18.3.24","50-64",31,39,24,6,1
"18.3.24","65+",29,47,22,2,0
"18.3.24","Asian",27,38,30,6,0
"18.3.24","Black",28,51,15,5,1
"18.3.24","Mixed",31,52,16,1,0
"18.3.24","Other Ethnicity",20,55,24,1,0
"18.3.24","White",31,39,23,6,1
"18.3.24","Brexit Party",49,22,27,3,0
"18.3.24","Conservatives",26,44,23,6,1
"18.3.24","Greens",36,26,32,4,2
"18.3.24","Labour",34,36,23,6,1
"18.3.24","Liberal Democrats",23,50,22,4,1
"18.3.24","Other Party",30,22,43,2,2
"18.3.24","SNP",47,38,11,4,0
"18.3.24","Female 18-24",36,37,20,5,3
"18.3.24","Female 25-49",30,39,24,7,1
"18.3.24","Female 50-64",35,38,22,5,0
"18.3.24","Female 65+",32,46,20,1,0
"18.3.24","Male 18-24",33,41,16,5,4
"18.3.24","Male 25-49",27,37,27,8,1
"18.3.24","Male 50-64",27,39,26,7,1
"18.3.24","Male 65+",26,48,23,2,0
"18.3.24","Female Asian",28,36,32,5,0
"18.3.24","Female Black",28,48,18,5,0
"18.3.24","Female Mixed",32,47,20,0,0
"18.3.24","Female Other",28,53,19,0,0
"18.3.24","Female White",33,40,22,5,1
"18.3.24","Male Asian",26,40,27,7,0
"18.3.24","Male Black",28,54,13,4,1
"18.3.24","Male Mixed",29,57,11,2,0
"18.3.24","Male Other",15,56,27,2,0
"18.3.24","Male White",28,39,25,6,1
"18.3.24","Female Brexit Party",46,19,34,0,0
"18.3.24","Female Conservatives",28,45,23,3,0
"18.3.24","Female Greens",37,29,29,5,0
"18.3.24","Female Labour",37,34,23,5,1
"18.3.24","Female Liberal Democrats",27,48,18,6,1
"18.3.24","Female Other",28,25,41,0,6
"18.3.24","Female SNP",41,43,11,5,0
"18.3.24","Male Brexit Party",50,24,23,4,0
"18.3.24","Male Conservatives",24,43,24,8,1
"18.3.24","Male Greens",36,22,36,2,4
"18.3.24","Male Labour",30,40,23,6,1
"18.3.24","Male Liberal Democrats",19,52,26,2,1
"18.3.24","Male Other",31,21,45,4,0
"18.3.24","Male SNP",53,32,11,4,0
"18.3.24","18-24 Asian",41,31,25,3,0
"18.3.24","18-24 Black",31,45,8,15,0
"18.3.24","18-24 Mixed",40,40,20,0,0
"18.3.24","18-24 Other",54,46,0,0,0
"18.3.24","18-24 White",32,39,18,5,5
"18.3.24","25-49 Asian",21,36,36,7,0
"18.3.24","25-49 Black",24,46,22,6,2
"18.3.24","25-49 Mixed",29,41,27,4,0
"18.3.24","25-49 Other",14,63,18,4,0
"18.3.24","25-49 White",31,37,24,8,1
"18.3.24","50-64 Asian",30,39,23,7,0
"18.3.24","50-64 Black",5,47,43,6,0
"18.3.24","50-64 Mixed",52,32,16,0,0
"18.3.24","50-64 Other",69,0,31,0,0
"18.3.24","50-64 White",31,39,23,6,1
"18.3.24","65+ Asian",30,54,16,0,0
"18.3.24","65+ Black",41,59,0,0,0
"18.3.24","65+ Mixed",26,65,9,0,0
"18.3.24","65+ Other",5,64,31,0,0
"18.3.24","65+ White",31,43,24,2,0
"18.3.24","18-24 Brexit Party",90,0,10,0,0
"18.3.24","18-24 Conservatives",27,38,18,6,11
"18.3.24","18-24 Greens",39,0,61,0,0
"18.3.24","18-24 Labour",38,34,19,7,3
"18.3.24","18-24 Liberal Democrats",0,100,0,0,0
"18.3.24","18-24 Other",46,0,54,0,0
"18.3.24","18-24 SNP",78,22,0,0,0
"18.3.24","25-49 Brexit Party",13,44,34,9,0
"18.3.24","25-49 Conservatives",26,40,25,9,0
"18.3.24","25-49 Greens",38,29,27,2,4
"18.3.24","25-49 Labour",33,36,24,7,1
"18.3.24","25-49 Liberal Democrats",20,44,28,6,2
"18.3.24","25-49 Other",17,24,52,0,7
"18.3.24","25-49 SNP",36,36,19,9,0
"18.3.24","50-64 Brexit Party",52,31,17,0,0
"18.3.24","50-64 Conservatives",25,38,29,8,1
"18.3.24","50-64 Greens",31,36,23,10,0
"18.3.24","50-64 Labour",36,39,19,6,1
"18.3.24","50-64 Liberal Democrats",30,48,21,0,2
"18.3.24","50-64 Other",37,20,35,8,0
