"Date","Demographic.Level","Not.at.all","Somewhat","Moderately","Very.much.so","Completely"
"18.3.24","National",8,35,39,15,4
"18.3.24","Female",10,43,35,12,2
"18.3.24","Male",6,27,43,19,6
"18.3.24","18-24",2,28,43,24,4
"18.3.24","25-49",6,28,40,20,6
"18.3.24","50-64",8,38,38,13,3
"18.3.24","65+",12,44,37,7,1
"18.3.24","Asian",8,33,40,15,3
"18.3.24","Black",2,48,29,18,2
"18.3.24","Mixed",18,48,12,6,16
"18.3.24","Other Ethnicity",1,18,75,6,0
"18.3.24","White",8,34,39,16,3
"18.3.24","Brexit Party",0,36,52,6,6
"18.3.24","Conservatives",10,36,35,15,5
"18.3.24","Greens",5,32,44,17,2
"18.3.24","Labour",7,34,40,17,2
"18.3.24","Liberal Democrats",6,31,48,14,2
"18.3.24","Other Party",4,47,31,14,4
"18.3.24","SNP",5,39,41,9,6
"18.3.24","Female 18-24",1,42,35,22,0
"18.3.24","Female 25-49",8,36,40,14,3
"18.3.24","Female 50-64",13,43,32,11,1
"18.3.24","Female 65+",12,52,30,6,0
"18.3.24","Male 18-24",2,15,49,27,7
"18.3.24","Male 25-49",3,20,41,26,9
"18.3.24","Male 50-64",3,33,44,15,5
"18.3.24","Male 65+",12,36,43,8,1
"18.3.24","Female Asian",14,42,33,11,0
"18.3.24","Female Black",3,39,33,22,3
"18.3.24","Female Mixed",0,79,6,4,11
"18.3.24","Female Other",2,20,68,10,0
"18.3.24","Female White",10,42,35,11,1
"18.3.24","Male Asian",2,24,48,19,7
"18.3.24","Male Black",2,55,26,15,2
"18.3.24","Male Mixed",37,17,18,8,20
"18.3.24","Male Other",0,17,79,4,0
"18.3.24","Male White",5,26,44,20,5
"18.3.24","Female Brexit Party",0,76,18,6,0
"18.3.24","Female Conservatives",11,43,32,11,2
"18.3.24","Female Greens",7,34,41,18,0
"18.3.24","Female Labour",9,42,35,12,1
"18.3.24","Female Liberal Democrats",6,35,48,10,1
"18.3.24","Female Other",10,55,21,13,1
"18.3.24","Female SNP",10,47,35,8,0
"18.3.24","Male Brexit Party",0,15,69,7,9
"18.3.24","Male Conservatives",8,28,39,18,7
"18.3.24","Male Greens",2,30,46,17,5
"18.3.24","Male Labour",4,23,46,22,4
"18.3.24","Male Liberal Democrats",6,27,47,17,2
"18.3.24","Male Other",0,42,36,15,6
"18.3.24","Male SNP",0,32,47,9,12
"18.3.24","18-24 Asian",0,23,41,31,6
"18.3.24","18-24 Black",0,14,57,29,0
"18.3.24","18-24 Mixed",16,48,16,20,0
"18.3.24","18-24 Other",0,12,49,38,0
"18.3.24","18-24 White",1,29,43,22,4
"18.3.24","25-49 Asian",7,37,37,14,4
"18.3.24","25-49 Black",5,16,42,29,7
"18.3.24","25-49 Mixed",0,31,11,13,45
"18.3.24","25-49 Other",0,31,62,7,0
"18.3.24","25-49 White",6,27,41,21,5
"18.3.24","50-64 Asian",23,31,32,14,1
