"Date","Demographic.Level","Not.at.all","Somewhat","Moderately","Very","Extremely"
"18.3.24","National",6,11,23,31,29
"18.3.24","Female",4,9,24,31,32
"18.3.24","Male",8,12,22,30,27
"18.3.24","18-24",1,8,17,42,33
"18.3.24","25-49",5,11,23,35,27
"18.3.24","50-64",8,14,18,27,33
"18.3.24","65+",8,9,30,25,29
"18.3.24","Asian",4,9,22,47,18
"18.3.24","Black",3,9,24,22,43
"18.3.24","Mixed",25,0,28,33,14
"18.3.24","Other Ethnicity",1,0,55,25,18
"18.3.24","White",6,12,22,30,31
"18.3.24","Brexit Party",17,19,33,16,16
"18.3.24","Conservatives",10,14,30,26,20
"18.3.24","Greens",2,11,6,31,50
"18.3.24","Labour",2,8,19,35,36
"18.3.24","Liberal Democrats",0,6,13,40,41
"18.3.24","Other Party",11,13,31,18,28
"18.3.24","SNP",3,2,20,35,40
"18.3.24","Female 18-24",0,6,14,43,37
"18.3.24","Female 25-49",3,8,24,36,29
"18.3.24","Female 50-64",5,10,22,26,37
"18.3.24","Female 65+",4,11,30,25,30
"18.3.24","Male 18-24",2,9,20,41,28
"18.3.24","Male 25-49",7,13,22,33,25
"18.3.24","Male 50-64",10,18,15,29,29
"18.3.24","Male 65+",11,8,30,25,27
"18.3.24","Female Asian",4,4,28,47,18
"18.3.24","Female Black",3,9,19,30,37
"18.3.24","Female Mixed",0,0,50,28,22
"18.3.24","Female Other",0,0,44,30,26
"18.3.24","Female White",4,10,22,30,34
"18.3.24","Male Asian",4,14,17,47,18
"18.3.24","Male Black",3,8,27,16,46
"18.3.24","Male Mixed",50,0,6,38,6
"18.3.24","Male Other",2,1,62,23,13
"18.3.24","Male White",7,14,21,30,28
"18.3.24","Female Brexit Party",18,8,17,11,46
"18.3.24","Female Conservatives",6,12,33,26,23
"18.3.24","Female Greens",0,4,10,31,56
"18.3.24","Female Labour",2,7,19,35,37
"18.3.24","Female Liberal Democrats",0,9,10,41,40
"18.3.24","Female Other",10,10,37,17,27
"18.3.24","Female SNP",2,2,20,40,36
"18.3.24","Male Brexit Party",16,24,41,18,0
"18.3.24","Male Conservatives",14,16,27,25,17
"18.3.24","Male Greens",4,19,1,32,44
"18.3.24","Male Labour",3,9,18,36,34
"18.3.24","Male Liberal Democrats",0,4,14,40,41
"18.3.24","Male Other",12,14,27,18,29
"18.3.24","Male SNP",4,3,20,30,42
"18.3.24","18-24 Asian",0,11,8,70,11
"18.3.24","18-24 Black",0,8,15,35,41
"18.3.24","18-24 Mixed",16,0,9,56,19
"18.3.24","18-24 Other",0,0,20,33,46
"18.3.24","18-24 White",0,8,19,38,36
"18.3.24","25-49 Asian",5,7,29,45,14
"18.3.24","25-49 Black",8,11,22,24,36
"18.3.24","25-49 Mixed",16,0,34,37,13
"18.3.24","25-49 Other",3,2,21,40,33
"18.3.24","25-49 White",4,12,22,33,29
"18.3.24","50-64 Asian",8,9,8,40,35
"18.3.24","50-64 Black",5,16,20,19,41
"18.3.24","50-64 Mixed",25,0,13,32,30
"18.3.24","50-64 Other",0,0,24,45,31
"18.3.24","50-64 White",8,15,19,26,33
"18.3.24","65+ Asian",0,14,33,33,20
"18.3.24","65+ Black",0,3,30,17,50
"18.3.24","65+ Mixed",32,0,33,25,11
"18.3.24","65+ Other",0,0,89,11,0
"18.3.24","65+ White",7,11,25,26,31
"18.3.24","18-24 Brexit Party",0,6,81,13,0
"18.3.24","18-24 Conservatives",4,12,28,49,8
"18.3.24","18-24 Greens",0,6,0,46,48
"18.3.24","18-24 Labour",0,8,13,41,37
"18.3.24","18-24 Liberal Democrats",0,0,0,45,55
"18.3.24","18-24 Other",0,6,21,0,73
"18.3.24","18-24 SNP",0,0,42,33,25
"18.3.24","25-49 Brexit Party",19,26,19,27,9
"18.3.24","25-49 Conservatives",9,14,29,31,17
"18.3.24","25-49 Greens",4,15,9,31,40
"18.3.24","25-49 Labour",3,8,22,36,32
"18.3.24","25-49 Liberal Democrats",0,9,19,42,30
"18.3.24","25-49 Other",12,18,28,17,25
"18.3.24","25-49 SNP",0,4,15,42,39
"18.3.24","50-64 Brexit Party",34,34,9,23,0
"18.3.24","50-64 Conservatives",10,20,23,22,24
"18.3.24","50-64 Greens",0,12,0,26,62
"18.3.24","50-64 Labour",4,7,15,30,44
"18.3.24","50-64 Liberal Democrats",0,5,9,41,45
"18.3.24","50-64 Other",14,4,34,34,14
"18.3.24","50-64 SNP",4,4,21,31,41
"18.3.24","65+ Brexit Party",0,0,61,0,39
"18.3.24","65+ Conservatives",11,11,36,22,21
"18.3.24","65+ Greens",0,3,10,25,62
"18.3.24","65+ Labour",2,7,20,35,36
"18.3.24","65+ Liberal Democrats",0,5,10,36,49
"18.3.24","65+ Other",10,17,34,10,30
"18.3.24","65+ SNP",13,0,13,22,52
"18.3.24","Asian Brexit Party",0,0,28,66,7
"18.3.24","Asian Conservatives",7,8,21,42,21
"18.3.24","Asian Greens",0,35,33,32,0
"18.3.24","Asian Labour",3,11,23,42,21
"18.3.24","Asian Liberal Democrats",0,0,20,66,14
"18.3.24","Asian Other",0,0,100,0,0
"18.3.24","Asian SNP",0,0,0,100,0
"18.3.24","Black Brexit Party",0,51,39,0,10
"18.3.24","Black Conservatives",0,5,30,25,41
"18.3.24","Black Greens",0,92,8,0,0
"18.3.24","Black Labour",10,3,28,34,24
"18.3.24","Black Liberal Democrats",0,0,0,0,100
"18.3.24","Black Other",0,100,0,0,0
"18.3.24","Black SNP",0,0,0,0,100
"18.3.24","Mixed Brexit Party",0,0,36,39,25
"18.3.24","Mixed Conservatives",51,0,35,7,7
"18.3.24","Mixed Greens",0,0,0,100,0
"18.3.24","Mixed Labour",0,0,28,37,35
"18.3.24","Mixed Liberal Democrats",0,0,0,100,0
"18.3.24","Mixed Other",0,0,100,0,0
"18.3.24","Mixed SNP",0,0,0,100,0
"18.3.24","Other Brexit Party",0,0,61,39,0
"18.3.24","Other Conservatives",0,0,65,23,12
"18.3.24","Other Greens",0,20,47,33,0
"18.3.24","Other Labour",3,0,53,25,19
"18.3.24","Other Liberal Democrats",0,0,0,46,54
"18.3.24","Other Ethnicity Other Party",0,0,100,0,0
"18.3.24","Other SNP",0,0,100,0,0
"18.3.24","White Brexit Party",21,20,32,10,17
"18.3.24","White Conservatives",9,17,29,25,20
"18.3.24","White Greens",2,4,1,30,63
"18.3.24","White Labour",2,8,16,35,39
"18.3.24","White Liberal Democrats",0,8,14,37,41
"18.3.24","White Other",14,10,20,22,35
"18.3.24","White SNP",4,3,21,28,43
"19.2.24","National",5,12,19,34,31
"19.2.24","Female",3,12,20,32,32
"19.2.24","Male",7,12,17,35,29
"19.2.24","18-24",0,8,22,42,28
"19.2.24","25-49",4,11,22,34,30
"19.2.24","50-64",7,13,18,26,36
"19.2.24","65+",5,15,14,38,28
"19.2.24","Asian",5,7,32,27,29
"19.2.24","Black",1,14,16,18,51
"19.2.24","Mixed",2,9,12,59,19
"19.2.24","Other Ethnicity",0,23,10,65,1
"19.2.24","White",5,12,18,33,31
"19.2.24","Brexit Party",23,15,17,19,26
"19.2.24","Conservatives",8,16,21,35,22
"19.2.24","Greens",0,2,22,24,52
"19.2.24","Labour",2,9,18,34,38
"19.2.24","Liberal Democrats",1,7,16,39,37
"19.2.24","Other Party",8,7,22,23,40
"19.2.24","SNP",2,15,9,33,40
"19.2.24","Female 18-24",0,11,21,42,26
"19.2.24","Female 25-49",3,9,24,34,31
"19.2.24","Female 50-64",6,13,18,26,37
"19.2.24","Female 65+",1,17,18,32,31
"19.2.24","Male 18-24",0,6,23,41,30
"19.2.24","Male 25-49",5,12,20,33,30
"19.2.24","Male 50-64",8,13,18,26,35
"19.2.24","Male 65+",10,12,10,44,25
"19.2.24","Female Asian",6,8,30,28,28
"19.2.24","Female Black",2,18,23,23,35
"19.2.24","Female Mixed",3,8,13,54,22
"19.2.24","Female Other",0,42,13,41,4
"19.2.24","Female White",3,12,20,32,33
"19.2.24","Male Asian",3,6,33,26,31
"19.2.24","Male Black",0,12,10,14,64
"19.2.24","Male Mixed",0,10,11,63,16
"19.2.24","Male Other",0,12,8,80,0
"19.2.24","Male White",8,12,16,34,29
"19.2.24","Female Brexit Party",23,8,20,17,33
"19.2.24","Female Conservatives",5,15,23,33,24
"19.2.24","Female Greens",0,4,23,22,51
"19.2.24","Female Labour",1,10,20,32,37
"19.2.24","Female Liberal Democrats",0,10,14,39,37
"19.2.24","Female Other",5,7,33,19,36
"19.2.24","Female SNP",2,11,15,33,39
"19.2.24","Male Brexit Party",24,19,15,20,23
"19.2.24","Male Conservatives",10,16,19,36,19
"19.2.24","Male Greens",0,0,21,27,52
"19.2.24","Male Labour",3,7,15,36,39
"19.2.24","Male Liberal Democrats",2,5,18,39,36
"19.2.24","Male Other",9,7,16,26,42
"19.2.24","Male SNP",2,20,4,34,40
"19.2.24","18-24 Asian",0,13,40,34,13
"19.2.24","18-24 Black",0,24,27,17,33
"19.2.24","18-24 Mixed",0,6,37,41,16
"19.2.24","18-24 Other",0,0,0,100,0
"19.2.24","18-24 White",0,6,19,42,32
"19.2.24","25-49 Asian",7,5,30,29,30
"19.2.24","25-49 Black",0,17,13,38,32
"19.2.24","25-49 Mixed",6,4,10,52,29
"19.2.24","25-49 Other",0,54,35,7,4
"19.2.24","25-49 White",4,10,21,35,31
"19.2.24","50-64 Asian",7,7,24,22,40
"19.2.24","50-64 Black",5,2,16,14,63
"19.2.24","50-64 Mixed",0,70,3,0,27
"19.2.24","50-64 Other",0,12,0,88,0
"19.2.24","50-64 White",8,13,18,26,35
"19.2.24","65+ Asian",0,11,39,19,32
"19.2.24","65+ Black",0,15,14,2,69
"19.2.24","65+ Mixed",0,2,7,78,13
"19.2.24","65+ Other",0,12,0,87,0
"19.2.24","65+ White",7,16,15,34,28
"19.2.24","18-24 Brexit Party",0,0,45,30,25
"19.2.24","18-24 Conservatives",0,0,42,37,21
"19.2.24","18-24 Greens",0,0,14,40,46
"19.2.24","18-24 Labour",0,12,19,36,33
"19.2.24","18-24 Liberal Democrats",0,0,11,88,1
"19.2.24","18-24 Other",0,6,0,8,86
"19.2.24","18-24 SNP",0,27,10,32,32
"19.2.24","25-49 Brexit Party",10,31,10,33,15
"19.2.24","25-49 Conservatives",9,13,23,36,19
"19.2.24","25-49 Greens",0,0,32,17,51
"19.2.24","25-49 Labour",2,9,21,34,34
"19.2.24","25-49 Liberal Democrats",0,9,24,31,37
"19.2.24","25-49 Other",5,14,29,19,34
"19.2.24","25-49 SNP",2,15,8,32,43
"19.2.24","50-64 Brexit Party",20,20,17,18,25
"19.2.24","50-64 Conservatives",10,19,21,23,28
"19.2.24","50-64 Greens",0,9,19,21,51
"19.2.24","50-64 Labour",5,7,16,25,48
"19.2.24","50-64 Liberal Democrats",1,4,11,41,42
"19.2.24","50-64 Other",24,7,9,26,35
"19.2.24","50-64 SNP",0,1,19,46,33
"19.2.24","65+ Brexit Party",40,0,18,6,36
"19.2.24","65+ Conservatives",6,17,16,41,19
"19.2.24","65+ Greens",0,0,9,32,59
"19.2.24","65+ Labour",0,9,9,38,44
"19.2.24","65+ Liberal Democrats",2,11,10,32,45
"19.2.24","65+ Other",0,1,32,30,36
"19.2.24","65+ SNP",8,24,0,24,44
"19.2.24","Asian Brexit Party",0,0,0,0,100
"19.2.24","Asian Conservatives",11,6,25,35,23
"19.2.24","Asian Greens",0,0,94,0,6
"19.2.24","Asian Labour",2,10,27,32,29
"19.2.24","Asian Liberal Democrats",0,0,72,0,27
"19.2.24","Asian Other",0,0,0,0,100
"19.2.24","Asian SNP",0,23,0,27,51
"19.2.24","Black Brexit Party",0,1,0,0,99
"19.2.24","Black Conservatives",0,11,10,12,67
"19.2.24","Black Greens",0,0,61,0,39
"19.2.24","Black Labour",3,15,21,24,38
"19.2.24","Black Liberal Democrats",0,0,24,39,37
"19.2.24","Black Other",0,66,0,0,34
"19.2.24","Black SNP",0,85,0,4,11
"19.2.24","Mixed Brexit Party",0,10,0,19,71
"19.2.24","Mixed Conservatives",3,9,0,88,0
"19.2.24","Mixed Greens",0,5,93,1,0
"19.2.24","Mixed Labour",0,0,32,11,57
"19.2.24","Mixed Liberal Democrats",0,9,0,91,0
"19.2.24","Mixed Other",0,0,9,91,0
"19.2.24","Mixed SNP",0,90,0,0,10
"19.2.24","Other Brexit Party",0,19,0,70,11
"19.2.24","Other Conservatives",0,35,0,65,0
"19.2.24","Other Greens",0,0,40,60,0
"19.2.24","Other Labour",0,13,23,64,0
"19.2.24","Other Liberal Democrats",0,0,24,67,8
"19.2.24","Other Ethnicity Other Party",0,16,0,73,11
"19.2.24","Other SNP",0,38,0,62,0
"19.2.24","White Brexit Party",29,17,21,19,14
"19.2.24","White Conservatives",8,16,23,32,21
"19.2.24","White Greens",0,3,8,28,61
"19.2.24","White Labour",2,9,16,34,40
"19.2.24","White Liberal Democrats",1,9,10,39,41
"19.2.24","White Other",10,4,27,22,38
"19.2.24","White SNP",3,6,12,36,43
"22.1.24","National",5,10,24,28,32
"22.1.24","Female",4,9,26,28,33
"22.1.24","Male",7,11,23,29,31
"22.1.24","18-24",2,8,24,28,38
"22.1.24","25-49",3,9,22,36,29
"22.1.24","50-64",7,11,21,25,36
"22.1.24","65+",8,11,30,20,31
"22.1.24","Asian",4,9,25,34,27
"22.1.24","Black",4,7,48,25,17
"22.1.24","Mixed",2,21,15,17,45
"22.1.24","Other Ethnicity",0,7,61,25,7
"22.1.24","White",6,10,22,29,34
"22.1.24","Brexit Party",17,29,26,14,14
"22.1.24","Conservatives",8,13,30,25,24
"22.1.24","Greens",3,1,17,34,45
"22.1.24","Labour",3,6,22,29,41
"22.1.24","Liberal Democrats",1,7,18,39,35
"22.1.24","Other Party",7,20,20,24,29
"22.1.24","SNP",1,3,12,36,48
"22.1.24","Female 18-24",1,6,22,33,38
"22.1.24","Female 25-49",2,8,28,32,29
"22.1.24","Female 50-64",4,9,23,24,41
"22.1.24","Female 65+",6,12,28,23,31
"22.1.24","Male 18-24",2,11,25,23,38
"22.1.24","Male 25-49",4,10,17,40,29
"22.1.24","Male 50-64",11,12,19,27,31
"22.1.24","Male 65+",9,11,33,16,31
