"Date","Demographic.Level","Donald.Trump","Kamala.Harris","Not.sure","Other.Candidate"
"13.8.24","National",41,46,7,7
"13.8.24","Democrat",4,90,3,3
"13.8.24","Independent",29,26,25,20
"13.8.24","Republican",89,4,3,4
"13.8.24","18-24",29,54,12,5
"13.8.24","25-34",28,55,8,9
"13.8.24","35-44",35,51,7,6
"13.8.24","45-54",40,43,7,10
"13.8.24","55-64",45,41,8,6
"13.8.24","65+",46,42,6,5
"13.8.24","Female",36,51,8,5
"13.8.24","Gender Expansive",15,77,0,8
"13.8.24","Male",46,39,6,8
"13.8.24","African American",28,61,8,3
"13.8.24","Asian",33,53,10,4
"13.8.24","Hispanic",27,58,8,7
"13.8.24","White",46,40,7,7
"13.8.24","College",43,45,6,6
"13.8.24","No College",40,46,8,7
"13.8.24","Rural",54,31,7,8
"13.8.24","Suburban",40,46,8,6
"13.8.24","Urban",28,61,6,6
"13.8.24","Alabama",51,37,7,6
"13.8.24","Alaska",44,38,9,8
"13.8.24","Arizona",45,41,7,7
"13.8.24","Arkansas",48,39,7,6
"13.8.24","California",36,50,8,7
"13.8.24","Colorado",43,44,7,7
"13.8.24","Connecticut",35,52,7,6
"13.8.24","Delaware",33,54,7,6
"13.8.24","District of Columbia",21,68,6,5
"13.8.24","Florida",41,46,7,6
"13.8.24","Georgia",43,43,8,6
"13.8.24","Hawaii",34,53,8,6
"13.8.24","Idaho",50,36,7,7
"13.8.24","Illinois",37,49,7,7
"13.8.24","Indiana",45,41,8,7
"13.8.24","Iowa",43,43,7,7
"13.8.24","Kansas",49,36,8,8
"13.8.24","Kentucky",44,44,6,6
"13.8.24","Louisiana",43,44,7,6
"13.8.24","Maine",38,49,6,7
"13.8.24","Maryland",34,54,6,6
"13.8.24","Massachusetts",31,56,6,6
"13.8.24","Michigan",38,48,7,7
"13.8.24","Minnesota",42,46,6,6
"13.8.24","Mississippi",48,40,7,6
"13.8.24","Missouri",44,42,7,6
"13.8.24","Montana",50,35,7,8
"13.8.24","Nebraska",49,38,7,7
"13.8.24","Nevada",42,45,7,6
"13.8.24","New Hampshire",39,47,7,7
"13.8.24","New Jersey",36,51,7,6
"13.8.24","New Mexico",39,49,6,6
"13.8.24","New York",33,53,7,7
"13.8.24","North Carolina",43,44,7,6
"13.8.24","North Dakota",51,36,7,6
"13.8.24","Ohio",46,41,7,7
"13.8.24","Oklahoma",47,41,6,6
"13.8.24","Oregon",37,49,7,7
"13.8.24","Pennsylvania",41,47,6,6
"13.8.24","Rhode Island",35,50,7,7
"13.8.24","South Carolina",45,42,8,6
"13.8.24","South Dakota",51,38,5,6
"13.8.24","Tennessee",49,38,7,6
"13.8.24","Texas",43,42,8,7
"13.8.24","Utah",55,33,6,6
"13.8.24","Vermont",32,56,6,7
"13.8.24","Virginia",45,41,7,6
"13.8.24","Washington",38,47,8,7
"13.8.24","West Virginia",44,43,6,7
"13.8.24","Wisconsin",45,43,6,6
"13.8.24","Wyoming",57,30,7,6
"27.8.24","National",39,47,9,5
"27.8.24","Democrat",3,91,4,2
"27.8.24","Independent",25,29,30,16
"27.8.24","Republican",85,6,5,3
"27.8.24","18-24",33,52,12,3
"27.8.24","25-34",33,52,9,6
"27.8.24","35-44",30,53,10,7
"27.8.24","45-54",39,47,11,4
"27.8.24","55-64",44,41,8,6
"27.8.24","65+",42,45,9,4
"27.8.24","Female",32,53,10,4
"27.8.24","Gender Expansive",5,75,9,11
"27.8.24","Male",46,40,8,6
"27.8.24","African American",24,66,7,4
"27.8.24","Asian",28,51,18,3
"27.8.24","Hispanic",25,58,11,5
"27.8.24","White",44,42,9,5
"27.8.24","College",41,48,7,5
"27.8.24","No College",38,47,10,5
"27.8.24","Rural",52,33,11,5
"27.8.24","Suburban",38,46,9,6
"27.8.24","Urban",25,63,8,4
"27.8.24","Alabama",49,38,8,4
"27.8.24","Alaska",41,41,12,6
"27.8.24","Arizona",42,42,10,5
"27.8.24","Arkansas",46,40,9,5
"27.8.24","California",33,51,11,5
"27.8.24","Colorado",41,45,9,5
"27.8.24","Connecticut",34,53,8,5
"27.8.24","Delaware",32,55,8,5
"27.8.24","District of Columbia",17,72,7,4
"27.8.24","Florida",38,47,9,5
"27.8.24","Georgia",41,44,9,5
"27.8.24","Hawaii",31,53,11,5
"27.8.24","Idaho",48,37,10,6
"27.8.24","Illinois",35,51,9,5
"27.8.24","Indiana",43,42,10,6
"27.8.24","Iowa",41,44,9,5
"27.8.24","Kansas",46,37,11,6
"27.8.24","Kentucky",43,45,8,4
"27.8.24","Louisiana",41,46,9,5
"27.8.24","Maine",37,50,9,4
"27.8.24","Maryland",32,56,8,4
"27.8.24","Massachusetts",30,57,8,5
"27.8.24","Michigan",36,50,9,5
"27.8.24","Minnesota",40,47,8,4
"27.8.24","Mississippi",45,42,8,4
"27.8.24","Missouri",42,44,9,5
"27.8.24","Montana",49,36,10,5
"27.8.24","Nebraska",47,39,9,5
"27.8.24","Nevada",39,46,9,5
"27.8.24","New Hampshire",37,49,9,5
"27.8.24","New Jersey",33,52,9,5
"27.8.24","New Mexico",37,50,9,5
"27.8.24","New York",31,55,9,5
"27.8.24","North Carolina",41,45,9,5
"27.8.24","North Dakota",49,37,9,5
"27.8.24","Ohio",44,42,9,5
"27.8.24","Oklahoma",44,42,9,5
"27.8.24","Oregon",35,50,10,5
"27.8.24","Pennsylvania",39,48,8,5
"27.8.24","Rhode Island",33,52,9,6
"27.8.24","South Carolina",42,43,9,5
"27.8.24","South Dakota",49,40,7,4
"27.8.24","Tennessee",47,40,9,5
"27.8.24","Texas",40,43,11,6
"27.8.24","Utah",52,34,9,5
"27.8.24","Vermont",31,58,8,4
"27.8.24","Virginia",43,43,9,5
"27.8.24","Washington",36,48,10,6
"27.8.24","West Virginia",42,44,9,4
"27.8.24","Wisconsin",42,45,8,5
"27.8.24","Wyoming",54,31,9,5
"11.9.24","National",39,47,9,5
"11.9.24","Democrat",3,92,3,2
"11.9.24","Independent",27,27,28,19
"11.9.24","Republican",86,6,5,3
"11.9.24","18-24",29,54,11,5
"11.9.24","25-34",34,51,9,7
"11.9.24","35-44",32,51,9,7
"11.9.24","45-54",37,46,11,6
"11.9.24","55-64",47,43,5,5
"11.9.24","65+",42,45,9,4
"11.9.24","Female",33,52,10,5
"11.9.24","Gender Expansive",0,74,15,10
"11.9.24","Male",46,41,7,6
"11.9.24","African American",24,66,8,2
"11.9.24","Asian",26,51,17,6
"11.9.24","Hispanic",28,60,9,3
"11.9.24","White",45,41,8,6
"11.9.24","College",43,46,7,4
"11.9.24","No College",38,47,9,6
"11.9.24","Rural",52,31,10,7
"11.9.24","Suburban",39,47,9,5
"11.9.24","Urban",26,63,7,4
"11.9.24","Alabama",49,38,9,5
"11.9.24","Alaska",42,40,11,7
"11.9.24","Arizona",43,42,9,5
"11.9.24","Arkansas",46,39,9,5
"11.9.24","California",34,51,9,5
"11.9.24","Colorado",42,45,8,5
"11.9.24","Connecticut",34,53,8,5
"11.9.24","Delaware",32,55,8,5
"11.9.24","District of Columbia",18,72,7,4
"11.9.24","Florida",39,48,9,5
"11.9.24","Georgia",42,44,9,5
"11.9.24","Hawaii",31,54,10,5
"11.9.24","Idaho",48,37,9,6
"11.9.24","Illinois",36,50,8,5
"11.9.24","Indiana",43,41,9,6
