Date,Demographic.Factors,Demographic.Level,Very.favorable,Somewhat.favorable,Somewhat.unfavorable,Very.unfavorable
5.3.25,National,National,21.1,19.5,10.4,49.1
5.3.25,Politics,Democrat,10.3,2.1,2.1,85.6
5.3.25,Politics,Independent,31.8,25.9,15.5,26.8
5.3.25,Politics,Republican,28.3,36.2,17.3,18.3
5.3.25,Age,18-24,19.7,24,10.2,46.1
5.3.25,Age,25-34,19.3,19.5,9.5,51.8
5.3.25,Age,35-44,19.7,16.2,9.1,55
5.3.25,Age,45-54,21.1,21.7,10.9,46.4
5.3.25,Age,55-64,22.4,18.7,10.7,48.1
5.3.25,Age,65+,21.8,20.2,10.9,47.1
5.3.25,Sex,Female,19.7,16.5,9.1,54.6
5.3.25,Sex,Gender Expansive,0,0,0,100
5.3.25,Sex,Male,22.6,22.7,11.7,43
5.3.25,Ethnicity,African American,17.2,13.9,6.7,62.1
5.3.25,Ethnicity,Asian,19.5,18.6,9.5,52.4
5.3.25,Ethnicity,Hispanic,17.6,12.6,7.5,62.3
5.3.25,Ethnicity,White,22.2,21.3,11.3,45.1
5.3.25,Education,College,20.6,19.2,10.2,50.1
5.3.25,Education,No College,21.4,19.6,10.5,48.5
5.3.25,Urbanicity,Rural,24.2,24,12.7,39.1
5.3.25,Urbanicity,Suburban,21.3,20.2,10.7,47.8
5.3.25,Urbanicity,Urban,17.7,14,7.7,60.5
3.2.25,National,National,22.3,19.3,10,48.4
3.2.25,Politics,Democrat,12.2,2.5,2.4,83
3.2.25,Politics,Independent,32.9,23.3,14.3,29.5
3.2.25,Politics,Republican,28.8,36.4,16.7,18.1
3.2.25,Age,18-24,21.3,20,9.7,49.1
3.2.25,Age,25-34,21,21,9.6,48.5
3.2.25,Age,35-44,21,18.1,9.3,51.6
3.2.25,Age,45-54,22.1,23.7,10.9,43.2
3.2.25,Age,55-64,23.4,19.2,10.6,46.8
3.2.25,Age,65+,23.1,17.4,10,49.5
3.2.25,Sex,Female,21.1,16.4,8.9,53.7
3.2.25,Sex,Gender Expansive,12.6,4.3,3.5,79.6
3.2.25,Sex,Male,23.7,22.4,11.3,42.6
3.2.25,Ethnicity,African American,19.1,13.9,6.8,60.2
3.2.25,Ethnicity,Asian,20.8,15.7,8.7,54.7
3.2.25,Ethnicity,Hispanic,19.3,13.7,7.6,59.3
3.2.25,Ethnicity,White,23.3,21,10.9,44.8
3.2.25,Education,College,21.8,18.8,9.8,49.6
