Date,Demographic Factors ,Demographic Level,Much more concerned,Somewhat more concerned,No change,Somewhat less concerned,Much less concerned
5.3.25,National,National,34.7,26.4,34.6,3.5,0.8
5.3.25,Politics,Democrat,44.2,18.4,33.5,2.8,1.1
5.3.25,Politics,Independent,30.3,29.5,35.8,3.8,0.6
5.3.25,Politics,Republican,26.1,34,35.3,4.1,0.5
5.3.25,Age,18-24,29.1,31.9,34.6,3.9,0.6
5.3.25,Age,25-34,33.3,27.7,34.7,3.6,0.7
5.3.25,Age,35-44,37.9,23.7,34.2,3.3,0.9
5.3.25,Age,45-54,31.5,29.3,34.8,3.7,0.7
5.3.25,Age,55-64,37.1,24.3,34.4,3.4,0.9
5.3.25,Age,65+,34.4,26.6,34.7,3.5,0.8
5.3.25,Sex,Female,37,24.4,34.4,3.4,0.9
5.3.25,Sex,Gender Expansive,73.2,5,15.8,0.9,5
5.3.25,Sex,Male,32.3,28.5,34.8,3.7,0.7
5.3.25,Ethnicity,African American,38.8,22.8,34.3,3.2,0.9
5.3.25,Ethnicity,Asian,34.2,26.8,34.7,3.5,0.8
5.3.25,Ethnicity,Hispanic,41.4,21,33.5,3,1
5.3.25,Ethnicity,White,33.3,27.6,34.8,3.6,0.7
5.3.25,Education,College,34,27.1,34.6,3.6,0.7
5.3.25,Education,No College,35.1,26,34.6,3.5,0.8
5.3.25,Urbanicity,Rural,32,28.7,34.9,3.7,0.7
5.3.25,Urbanicity,Suburban,34.5,26.6,34.6,3.5,0.8
5.3.25,Urbanicity,Urban,37.7,23.8,34.3,3.3,0.9
3.2.25,National,National,31.1,25.8,39.6,2.8,0.6
3.2.25,Politics,Democrat,39.9,18.1,38.8,2.3,0.9
3.2.25,Politics,Independent,27.8,27.8,40.8,3.1,0.5
3.2.25,Politics,Republican,22.7,33.6,40,3.4,0.4
3.2.25,Age,18-24,34.5,22.8,39.3,2.6,0.7
3.2.25,Age,25-34,37,20.9,38.8,2.5,0.8
3.2.25,Age,35-44,28.7,28,39.8,3,0.6
3.2.25,Age,45-54,31.5,25.3,39.7,2.8,0.6
3.2.25,Age,55-64,29.9,26.8,39.8,2.9,0.6
3.2.25,Age,65+,30.2,26.6,39.8,2.9,0.6
3.2.25,Sex,Female,35,22.2,39.4,2.6,0.8
3.2.25,Sex,Gender Expansive,58.5,9.2,28.9,1.3,2.1
3.2.25,Sex,Male,26.8,29.7,39.9,3.1,0.5
3.2.25,Ethnicity,African American,31.3,25.4,39.9,2.8,0.6
3.2.25,Ethnicity,Asian,32.6,24.6,39.4,2.8,0.7
3.2.25,Ethnicity,Hispanic,32.2,24.8,39.5,2.8,0.7
3.2.25,Ethnicity,White,30.8,26.1,39.6,2.9,0.6
3.2.25,Education,College,29.8,27.1,39.6,2.9,0.6
3.2.25,Education,No College,31.8,25.2,39.6,2.8,0.7
3.2.25,Urbanicity,Rural,30,26.7,39.8,2.9,0.6
3.2.25,Urbanicity,Suburban,32.4,24.7,39.4,2.8,0.7
3.2.25,Urbanicity,Urban,30.5,26.3,39.7,2.9,0.6
13.1.25,National,National,26.6,35,34.7,3.2,0.5
13.1.25,Politics,Democrat,29.1,32.1,35.2,3.1,0.5
13.1.25,Politics,Independent,25.8,35.8,34.7,3.2,0.5
13.1.25,Politics,Republican,24.1,37.9,34.3,3.3,0.4
13.1.25,Age,18-24,27.5,33.9,34.9,3.1,0.5
13.1.25,Age,25-34,27.5,33.9,34.9,3.1,0.5
13.1.25,Age,35-44,23.8,38.5,34,3.3,0.4
13.1.25,Age,45-54,26.1,35.6,34.7,3.2,0.5
13.1.25,Age,55-64,28,33.4,35,3.1,0.5
13.1.25,Age,65+,27,34.4,34.9,3.2,0.5
13.1.25,Sex,Female,27.9,33.4,35,3.1,0.5
13.1.25,Sex,Gender Expansive,56.9,12.3,27.4,1.6,1.8
13.1.25,Sex,Male,25.2,36.7,34.5,3.2,0.4
13.1.25,Ethnicity,African American,26.5,35,34.8,3.2,0.5
13.1.25,Ethnicity,Asian,24.9,37.1,34.4,3.2,0.4
13.1.25,Ethnicity,Hispanic,30.8,30.4,35.3,3,0.6
13.1.25,Ethnicity,White,26.1,35.5,34.7,3.2,0.5
13.1.25,Education,College,25.2,36.6,34.5,3.2,0.4
13.1.25,Education,No College,27.3,34.2,34.9,3.1,0.5
13.1.25,Urbanicity,Rural,25.1,36.8,34.4,3.2,0.4
13.1.25,Urbanicity,Suburban,27.3,34.2,34.9,3.1,0.5
13.1.25,Urbanicity,Urban,27.2,34.3,34.8,3.1,0.5
17.12.24,National,National,32.4,31.2,32.9,3.2,0.3
17.12.24,Politics,Democrat,37.3,26.4,33,3,0.4
17.12.24,Politics,Independent,32.6,30.7,33.2,3.2,0.3
17.12.24,Politics,Republican,26.9,36.8,32.6,3.5,0.2
17.12.24,Age,18-24,24.8,39.6,31.8,3.6,0.2
17.12.24,Age,25-34,29.6,34,32.7,3.4,0.3
17.12.24,Age,35-44,33.8,29.8,32.9,3.2,0.3
17.12.24,Age,45-54,33.4,30.2,32.9,3.2,0.3
17.12.24,Age,55-64,32,31.6,32.9,3.3,0.3
17.12.24,Age,65+,33,30.5,32.9,3.2,0.3
17.12.24,Sex,Female,36.5,27.1,33,3,0.4
17.12.24,Sex,Gender Expansive,41.2,23.3,32.3,2.8,0.4
17.12.24,Sex,Male,28,35.6,32.7,3.5,0.2
17.12.24,Ethnicity,African American,37.3,26.5,32.8,3,0.4
17.12.24,Ethnicity,Asian,34,29.5,33,3.2,0.3
17.12.24,Ethnicity,Hispanic,38,26,32.7,2.9,0.4
17.12.24,Ethnicity,White,30.9,32.6,32.9,3.3,0.3
17.12.24,Education,College,30.2,33.3,32.8,3.3,0.3
17.12.24,Education,No College,33.6,30.1,32.9,3.2,0.3
17.12.24,Urbanicity,Rural,32.3,31.3,32.9,3.2,0.3
17.12.24,Urbanicity,Suburban,31,32.6,32.8,3.3,0.3
17.12.24,Urbanicity,Urban,34.5,29.2,32.9,3.1,0.3
2.4.25,National,National,31.8,28.4,35,3.8,1
2.4.25,Politics,Democrat,38.1,22.6,34.7,3.4,1.3
2.4.25,Politics,Independent,27.4,32.5,35.2,4.2,0.8
2.4.25,Politics,Republican,26.9,33,35.2,4.2,0.7
2.4.25,Age,18-24,21.6,40,33.3,4.4,0.6
2.4.25,Age,25-34,26.9,33.3,34.9,4.2,0.8
2.4.25,Age,35-44,28.2,31.8,35.1,4.1,0.8
2.4.25,Age,45-54,26.8,33.3,34.9,4.2,0.7
2.4.25,Age,55-64,36.7,23.7,34.9,3.5,1.2
2.4.25,Age,65+,35.4,24.8,35.1,3.6,1.1
2.4.25,Sex,Female,34.5,25.7,35,3.6,1.1
2.4.25,Sex,Gender Expansive,68.8,6,18.4,1.1,5.7
2.4.25,Sex,Male,28.9,31.2,35,4,0.8
2.4.25,Ethnicity,African American,31.6,28.5,35.1,3.8,1
2.4.25,Ethnicity,Asian,33.5,26.9,34.9,3.7,1.1
2.4.25,Ethnicity,Hispanic,28.3,32.1,34.8,4.1,0.8
2.4.25,Ethnicity,White,32.3,27.9,35,3.8,1
2.4.25,Education,College,30.9,29.3,35,3.9,0.9
2.4.25,Education,No College,32.3,27.9,35,3.8,1
2.4.25,Urbanicity,Rural,33.1,27,35,3.7,1
2.4.25,Urbanicity,Suburban,32.5,27.8,35,3.8,1
2.4.25,Urbanicity,Urban,29.8,30.4,35,4,0.9
23.4.25,National,National,32.9,29.6,32.8,4.1,0.6
23.4.25,Politics,Democrat,37,25.5,32.9,3.8,0.7
23.4.25,Politics,Independent,36.1,26.3,33,3.9,0.7
23.4.25,Politics,Republican,26.7,35.8,32.5,4.5,0.4
23.4.25,Age,18-24,30.3,31.8,33.1,4.3,0.5
23.4.25,Age,25-34,31.3,30.9,33.1,4.2,0.5
23.4.25,Age,35-44,27.9,34.6,32.6,4.4,0.4
23.4.25,Age,45-54,29.1,33.3,32.8,4.4,0.5
23.4.25,Age,55-64,38.9,24.2,32.4,3.7,0.8
23.4.25,Age,65+,34.6,27.9,32.9,4,0.6
23.4.25,Sex,Female,33.5,29,32.8,4.1,0.6
23.4.25,Sex,Gender Expansive,75.6,4.9,14.1,1,4.5
23.4.25,Sex,Male,32.2,30.3,32.8,4.1,0.6
23.4.25,Ethnicity,African American,32.6,29.8,32.9,4.1,0.6
23.4.25,Ethnicity,Asian,36.1,26.7,32.7,3.9,0.7
23.4.25,Ethnicity,Hispanic,32.7,29.7,32.9,4.1,0.6
23.4.25,Ethnicity,White,32.8,29.8,32.7,4.1,0.6
23.4.25,Education,College,29.2,33.3,32.6,4.3,0.5
23.4.25,Education,No College,34.8,27.7,32.9,4,0.6
23.4.25,Urbanicity,Rural,35.7,27,32.7,3.9,0.7
23.4.25,Urbanicity,Suburban,32.1,30.4,32.8,4.2,0.6
23.4.25,Urbanicity,Urban,31.3,31.1,32.9,4.2,0.5
4.6.25,National,National,34.5,29.2,30.7,4.4,1.1
4.6.25,Politics,Democrat,41.7,22.6,30.3,3.9,1.5
4.6.25,Politics,Independent,31.8,31.3,31.2,4.7,1
4.6.25,Politics,Republican,27.8,35.6,30.9,4.9,0.8
4.6.25,Age,18-24,31.3,32.3,30.8,4.7,1
4.6.25,Age,25-34,33,30.6,30.8,4.5,1.1
4.6.25,Age,35-44,31,32.7,30.7,4.7,1
