"Date","Demographic.Level","Somewhat.favorable","Somewhat.unfavorable","Very.favorable","Very.unfavorable"
"13.8.24","National",21,12,29,39
"13.8.24","Democrat",35,17,31,17
"13.8.24","Independent",20,14,36,30
"13.8.24","Republican",5,5,23,67
"13.8.24","18-24",41,15,26,18
"13.8.24","25-34",34,15,28,23
"13.8.24","35-44",27,14,30,30
"13.8.24","45-54",20,12,30,38
"13.8.24","55-64",17,11,29,43
"13.8.24","65+",15,10,28,47
"13.8.24","Female",22,12,29,37
"13.8.24","Gender Expansive",36,16,28,19
"13.8.24","Male",20,11,28,40
"13.8.24","African American",38,15,27,20
"13.8.24","Asian",30,14,29,26
"13.8.24","Hispanic",23,13,31,33
"13.8.24","White",17,11,29,44
"13.8.24","College",22,12,29,38
"13.8.24","No College",20,12,29,39
"13.8.24","Rural",13,9,27,51
"13.8.24","Suburban",20,12,29,39
"13.8.24","Urban",30,15,29,26
"13.8.24","Alabama",18,10,27,46
"13.8.24","Alaska",16,11,29,44
"13.8.24","Arizona",19,11,29,41
"13.8.24","Arkansas",16,10,27,46
"13.8.24","California",23,13,30,34
"13.8.24","Colorado",21,12,29,39
"13.8.24","Connecticut",22,12,30,36
"13.8.24","Delaware",22,12,30,36
"13.8.24","District of Columbia",34,16,29,20
"13.8.24","Florida",21,12,29,39
"13.8.24","Georgia",22,11,28,39
"13.8.24","Hawaii",21,13,31,36
"13.8.24","Idaho",15,10,28,47
"13.8.24","Illinois",23,12,29,36
"13.8.24","Indiana",18,11,28,43
"13.8.24","Iowa",17,11,29,43
"13.8.24","Kansas",17,10,28,44
"13.8.24","Kentucky",18,11,28,43
"13.8.24","Louisiana",21,11,28,39
"13.8.24","Maine",17,11,30,42
"13.8.24","Maryland",26,13,28,32
"13.8.24","Massachusetts",24,13,30,33
"13.8.24","Michigan",22,12,28,37
"13.8.24","Minnesota",20,11,28,41
"13.8.24","Mississippi",17,10,27,46
"13.8.24","Missouri",20,11,28,41
"13.8.24","Montana",14,10,28,48
"13.8.24","Nebraska",17,10,28,45
"13.8.24","Nevada",21,12,29,38
"13.8.24","New Hampshire",16,11,30,43
"13.8.24","New Jersey",24,13,30,33
"13.8.24","New Mexico",18,11,30,40
"13.8.24","New York",25,13,29,33
"13.8.24","North Carolina",20,11,29,40
"13.8.24","North Dakota",14,9,28,49
"13.8.24","Ohio",18,11,28,43
"13.8.24","Oklahoma",17,10,28,45
"13.8.24","Oregon",21,12,29,38
"13.8.24","Pennsylvania",20,11,29,40
"13.8.24","Rhode Island",22,13,30,35
"13.8.24","South Carolina",19,11,28,42
"13.8.24","South Dakota",14,9,28,49
"13.8.24","Tennessee",18,10,27,45
"13.8.24","Texas",20,12,29,40
"13.8.24","Utah",15,10,27,48
"13.8.24","Vermont",19,12,30,38
"13.8.24","Virginia",21,11,28,40
"13.8.24","Washington",22,12,29,37
"13.8.24","West Virginia",16,10,29,45
"13.8.24","Wisconsin",17,10,28,45
"13.8.24","Wyoming",11,8,26,55
"27.8.24","National",23,10,31,36
"27.8.24","Democrat",36,14,32,17
"27.8.24","Independent",26,13,36,24
"27.8.24","Republican",6,5,26,63
"27.8.24","18-24",42,13,27,17
"27.8.24","25-34",37,13,29,21
"27.8.24","35-44",30,12,31,26
"27.8.24","45-54",24,11,32,33
"27.8.24","55-64",19,10,31,40
"27.8.24","65+",16,9,31,44
"27.8.24","Female",25,11,31,33
"27.8.24","Gender Expansive",44,14,27,15
"27.8.24","Male",21,10,31,38
"27.8.24","African American",36,13,30,21
"27.8.24","Asian",34,12,30,24
"27.8.24","Hispanic",27,12,32,29
"27.8.24","White",19,10,31,40
"27.8.24","College",22,10,31,37
"27.8.24","No College",24,11,31,35
"27.8.24","Rural",17,9,30,44
"27.8.24","Suburban",23,10,31,36
"27.8.24","Urban",30,12,31,26
"27.8.24","Alabama",20,9,29,41
"27.8.24","Alaska",19,10,32,39
"27.8.24","Arizona",21,10,31,38
"27.8.24","Arkansas",20,9,30,41
"27.8.24","California",25,11,32,32
"27.8.24","Colorado",23,10,31,36
"27.8.24","Connecticut",24,11,32,33
"27.8.24","Delaware",25,11,32,33
"27.8.24","District of Columbia",32,13,33,22
"27.8.24","Florida",23,10,31,36
"27.8.24","Georgia",24,10,30,36
"27.8.24","Hawaii",24,11,32,32
"27.8.24","Idaho",19,9,30,42
"27.8.24","Illinois",25,11,31,33
"27.8.24","Indiana",21,10,30,39
"27.8.24","Iowa",21,10,31,38
"27.8.24","Kansas",20,10,31,40
"27.8.24","Kentucky",21,10,31,38
"27.8.24","Louisiana",23,10,31,36
"27.8.24","Maine",21,10,32,37
"27.8.24","Maryland",27,11,31,31
"27.8.24","Massachusetts",25,11,32,31
"27.8.24","Michigan",24,11,31,34
"27.8.24","Minnesota",22,10,31,37
"27.8.24","Mississippi",20,9,30,41
"27.8.24","Missouri",22,10,31,38
"27.8.24","Montana",18,9,30,43
"27.8.24","Nebraska",19,9,31,41
"27.8.24","Nevada",23,10,31,36
"27.8.24","New Hampshire",20,10,32,38
"27.8.24","New Jersey",26,11,31,32
"27.8.24","New Mexico",22,10,32,36
"27.8.24","New York",26,11,31,31
"27.8.24","North Carolina",23,10,31,36
