Date,Demographic.Level,0,1,2,3,4,5,6,7,8,9,10
2.4.24,National,27,16,11,9,7,7,7,7,6,2,1
2.4.24,Female,25,16,11,9,7,7,8,7,6,2,2
2.4.24,Male,28,17,11,9,7,6,7,6,5,1,1
2.4.24,18-24,12,11,10,9,9,9,11,12,11,3,3
2.4.24,25-49,18,15,11,10,8,8,9,9,8,2,2
2.4.24,50-64,30,18,12,9,7,6,6,5,4,1,1
2.4.24,65+,41,19,11,7,5,4,4,4,3,1,1
2.4.24,Asian,19,14,11,10,8,8,9,9,8,2,2
2.4.24,Black,30,17,11,9,7,6,7,6,5,1,1
2.4.24,Mixed,17,13,10,9,8,8,9,10,9,3,3
2.4.24,Other,25,16,11,9,7,7,8,7,6,2,2
2.4.24,White,28,17,11,9,7,6,7,7,5,1,1
2.4.24,Brexit Party,28,17,12,9,7,6,7,6,5,1,1
2.4.24,Conservatives,34,18,11,8,6,5,6,5,4,1,1
2.4.24,Greens,25,16,11,9,8,7,8,7,6,2,1
2.4.24,Labour,20,14,11,10,8,8,9,9,8,2,2
2.4.24,Liberal Democrats,21,15,11,9,8,7,9,8,7,2,2
2.4.24,Other,27,17,11,9,7,7,7,7,5,1,1
2.4.24,SNP,24,16,11,9,8,7,8,7,6,2,1
2.4.24,Female 18-24,10,10,9,9,9,9,12,13,13,4,3
2.4.24,Female 25-49,16,13,11,10,9,8,10,10,9,2,2
2.4.24,Female 50-64,30,18,12,9,7,6,6,5,4,1,1
2.4.24,Female 65+,39,19,11,8,6,5,5,4,3,1,1
2.4.24,Male 18-24,14,13,11,10,9,9,10,10,9,3,2
2.4.24,Male 25-49,21,16,12,10,8,7,8,8,6,2,1
2.4.24,Male 50-64,29,18,12,9,7,6,6,6,4,1,1
2.4.24,Male 65+,43,19,11,7,5,4,4,3,2,1,1
2.4.24,Female Asian,18,13,10,9,8,8,10,10,9,3,2
2.4.24,Female Black,25,16,11,9,7,7,8,7,6,2,2
2.4.24,Female Mixed,16,13,10,9,8,8,10,10,10,3,3
2.4.24,Female Other,20,14,10,9,8,7,9,9,8,2,2
2.4.24,Female White,26,16,11,9,7,7,7,7,6,2,1
2.4.24,Male Asian,21,15,11,10,8,8,9,8,7,2,2
2.4.24,Male Black,34,18,11,8,6,5,6,5,4,1,1
2.4.24,Male Mixed,19,14,11,9,8,8,9,9,9,3,2
2.4.24,Male Other,29,17,11,9,7,6,7,6,5,1,1
2.4.24,Male White,29,17,11,9,7,6,7,6,5,1,1
2.4.24,Female Brexit Party,28,17,12,9,7,6,7,6,5,1,1
