Date,Demographic.Level,0,1,2,3,4,5,6,7,8,9,10
2.4.24,National,2,2,4,5,7,9,12,16,19,15,9
2.4.24,Female,2,2,3,5,6,8,12,16,20,15,10
2.4.24,Male,2,2,4,6,7,9,13,16,19,14,9
2.4.24,18-24,2,2,5,7,8,11,14,16,17,11,6
2.4.24,25-49,2,2,4,7,8,10,14,17,18,12,7
2.4.24,50-64,2,2,3,5,7,9,13,17,20,15,9
2.4.24,65+,1,1,2,3,5,6,10,16,22,20,14
2.4.24,Asian,2,2,4,6,8,10,13,16,18,12,7
2.4.24,Black,1,1,2,4,5,7,10,15,21,19,14
2.4.24,Mixed,2,2,5,7,8,10,13,16,17,12,7
2.4.24,Other,2,2,4,5,7,9,12,16,19,15,9
2.4.24,White,2,2,4,5,7,9,12,16,19,15,9
2.4.24,Brexit Party,2,2,4,6,7,9,13,17,19,13,8
2.4.24,Conservatives,1,1,3,4,5,7,11,16,21,17,12
2.4.24,Greens,2,2,4,6,7,10,13,17,18,13,8
2.4.24,Labour,2,2,4,7,8,10,14,17,18,12,7
2.4.24,Liberal Democrats,2,2,4,6,8,10,13,17,18,13,8
2.4.24,Other,2,3,5,7,9,11,14,16,17,11,6
2.4.24,SNP,2,2,4,6,8,10,13,17,18,13,8
2.4.24,Female 18-24,2,2,5,7,8,11,14,17,17,11,6
2.4.24,Female 25-49,2,2,4,6,8,10,13,17,18,13,7
2.4.24,Female 50-64,1,1,3,4,6,8,12,17,21,16,11
2.4.24,Female 65+,1,1,2,3,4,6,10,15,22,20,15
2.4.24,Male 18-24,2,2,5,7,8,11,14,16,17,11,6
2.4.24,Male 25-49,2,2,5,7,8,11,14,16,17,11,6
2.4.24,Male 50-64,2,2,4,6,7,10,13,17,18,13,8
2.4.24,Male 65+,1,1,2,4,5,7,10,16,22,19,14
2.4.24,Female Asian,2,2,4,6,7,10,13,17,18,13,8
2.4.24,Female Black,1,1,2,4,5,7,11,16,21,19,14
2.4.24,Female Mixed,2,2,4,6,8,10,13,16,18,13,8
2.4.24,Female Other,2,2,4,6,7,9,13,16,19,14,9
2.4.24,Female White,1,2,3,5,6,8,12,16,20,16,10
2.4.24,Male Asian,2,2,5,7,8,10,14,16,17,11,7
2.4.24,Male Black,1,1,2,4,5,7,10,15,21,19,14
2.4.24,Male Mixed,2,3,5,7,8,10,13,16,17,12,7
2.4.24,Male Other,2,2,3,5,7,9,12,16,19,15,10
2.4.24,Male White,2,2,4,6,7,9,13,16,19,14,8
2.4.24,Female Brexit Party,2,2,3,5,6,9,12,17,20,15,9
2.4.24,Female Conservatives,1,1,2,4,5,7,11,16,22,18,13
2.4.24,Female Greens,2,2,4,6,7,9,13,17,19,14,9
2.4.24,Female Labour,2,2,4,6,8,10,13,17,18,13,8
2.4.24,Female Liberal Democrats,2,2,4,6,7,9,13,17,19,14,8
2.4.24,Female Other,2,2,4,6,8,10,13,16,18,12,7
2.4.24,Female SNP,2,2,4,6,7,9,13,17,19,13,8
2.4.24,Male Brexit Party,2,2,4,6,8,10,13,16,18,12,7
2.4.24,Male Conservatives,1,1,3,5,6,8,12,16,21,16,11
2.4.24,Male Greens,2,2,4,7,8,10,14,17,17,12,7
2.4.24,Male Labour,2,2,5,7,8,11,14,16,17,11,6
2.4.24,Male Liberal Democrats,2,2,4,7,8,10,13,16,18,12,7
2.4.24,Male Other,3,3,5,8,9,11,14,16,16,10,6
2.4.24,Male SNP,2,2,4,7,8,10,14,16,18,12,7
2.4.24,18-24 Asian,2,3,5,7,9,11,14,16,16,10,6
2.4.24,18-24 Black,1,2,3,5,6,9,13,17,20,15,9
2.4.24,18-24 Mixed,3,3,7,9,10,12,14,15,13,8,4
2.4.24,18-24 Other,2,3,5,8,9,11,14,16,16,10,6
2.4.24,18-24 White,2,2,5,7,8,11,14,17,17,11,6
2.4.24,25-49 Asian,2,2,5,7,8,11,14,17,17,11,6
2.4.24,25-49 Black,1,1,3,5,6,8,12,17,21,16,10
2.4.24,25-49 Mixed,3,3,6,9,10,12,14,15,14,9,5
2.4.24,25-49 Other,2,2,5,7,8,11,14,16,17,11,6
2.4.24,25-49 White,2,2,4,7,8,10,14,17,18,12,7
2.4.24,50-64 Asian,2,2,4,6,7,9,13,17,19,14,8
2.4.24,50-64 Black,1,1,2,4,5,7,11,16,22,19,13
2.4.24,50-64 Mixed,2,3,5,7,9,11,14,16,17,11,6
2.4.24,50-64 Other,2,2,4,6,7,9,13,17,19,13,8
2.4.24,50-64 White,2,2,3,5,7,9,13,17,20,15,9
2.4.24,65+ Asian,1,1,2,4,5,7,11,16,22,19,13
2.4.24,65+ Black,1,1,1,2,3,5,8,14,22,23,19
2.4.24,65+ Mixed,1,2,3,5,6,8,12,17,20,15,10
2.4.24,65+ Other,1,1,2,4,5,7,11,16,22,18,12
2.4.24,65+ White,1,1,2,3,4,6,10,16,22,20,14
2.4.24,18-24 Brexit Party,3,3,5,8,9,11,14,16,16,10,6
2.4.24,18-24 Conservatives,2,2,4,6,7,9,13,17,19,13,8
2.4.24,18-24 Greens,2,2,5,7,8,11,14,17,17,11,6
2.4.24,18-24 Labour,2,3,5,7,9,11,14,16,16,10,6
2.4.24,18-24 Liberal Democrats,2,3,5,7,9,11,14,16,16,10,6
2.4.24,18-24 Other,3,3,6,9,10,12,14,15,14,8,5
2.4.24,18-24 SNP,2,2,5,7,9,11,14,16,17,11,6
2.4.24,25-49 Brexit Party,2,3,5,7,9,11,14,16,16,10,6
2.4.24,25-49 Conservatives,2,2,3,5,7,9,13,17,20,14,9
2.4.24,25-49 Greens,2,2,4,7,8,10,14,17,17,11,7
2.4.24,25-49 Labour,2,2,5,7,9,11,14,16,17,11,6
2.4.24,25-49 Liberal Democrats,2,2,5,7,9,11,14,16,17,11,6
2.4.24,25-49 Other,3,3,6,9,10,12,14,15,14,9,5
2.4.24,25-49 SNP,2,2,5,7,8,11,14,17,17,11,6
2.4.24,50-64 Brexit Party,2,2,4,6,8,10,14,17,18,12,7
2.4.24,50-64 Conservatives,1,1,3,5,6,8,12,17,21,16,11
2.4.24,50-64 Greens,2,2,4,6,7,9,13,17,19,13,8
2.4.24,50-64 Labour,2,2,4,6,7,10,13,17,19,13,8
2.4.24,50-64 Liberal Democrats,2,2,4,6,7,10,13,17,19,13,8
2.4.24,50-64 Other,3,3,5,8,9,11,14,16,16,10,5
2.4.24,50-64 SNP,2,2,4,6,7,9,13,17,19,13,8
2.4.24,65+ Brexit Party,1,1,3,4,5,8,12,17,21,17,11
2.4.24,65+ Conservatives,1,1,2,3,4,6,9,15,22,21,16
2.4.24,65+ Greens,1,1,2,4,5,7,11,16,22,18,12
2.4.24,65+ Labour,1,1,3,4,5,8,11,16,21,17,11
2.4.24,65+ Liberal Democrats,1,1,3,4,5,8,11,16,21,17,11
2.4.24,65+ Other,1,2,3,5,6,9,13,17,20,15,9
2.4.24,65+ SNP,1,1,3,4,5,7,11,16,22,18,12
2.4.24,Asian Brexit Party,2,2,5,7,8,11,14,16,17,11,6
2.4.24,Asian Conservatives,2,2,3,5,6,9,12,17,20,15,9
2.4.24,Asian Greens,2,2,5,7,8,10,14,17,17,11,6
2.4.24,Asian Labour,2,3,5,7,9,11,14,16,16,10,6
2.4.24,Asian Liberal Democrats,2,2,5,7,8,11,14,16,17,11,6
2.4.24,Asian Other,3,3,6,9,10,12,14,15,15,9,5
2.4.24,Asian SNP,2,2,5,7,8,11,14,16,17,11,6
2.4.24,Black Brexit Party,1,1,3,4,5,7,11,16,21,18,12
2.4.24,Black Conservatives,1,1,2,3,4,6,9,14,22,22,17
2.4.24,Black Greens,1,1,3,4,6,8,12,16,21,17,11
2.4.24,Black Labour,1,1,3,5,6,8,12,17,20,16,10
2.4.24,Black Liberal Democrats,1,1,3,4,6,8,11,16,21,17,12
2.4.24,Black Other,2,2,3,5,6,9,12,17,20,15,10
2.4.24,Black SNP,1,1,3,4,6,8,12,16,21,17,11
2.4.24,Mixed Brexit Party,2,3,5,7,9,11,14,16,17,11,6
2.4.24,Mixed Conservatives,2,2,3,5,7,9,12,17,20,15,9
2.4.24,Mixed Greens,3,3,5,8,9,11,14,16,16,10,6
2.4.24,Mixed Labour,3,3,6,8,10,11,14,15,15,9,5
2.4.24,Mixed Liberal Democrats,3,3,5,8,9,11,14,16,16,10,6
2.4.24,Mixed Other,3,3,6,9,10,11,14,15,14,9,5
2.4.24,Mixed SNP,3,3,6,8,9,11,14,16,16,10,6
2.4.24,Other Brexit Party,2,2,4,6,7,9,13,17,19,13,8
2.4.24,Other Conservatives,1,1,3,4,5,7,11,16,21,17,12
2.4.24,Other Greens,2,2,4,6,8,10,13,17,18,12,7
2.4.24,Other Labour,2,2,5,7,8,10,14,16,17,12,7
2.4.24,Other Liberal Democrats,2,2,4,6,8,10,13,17,18,13,8
2.4.24,Other Other,2,3,5,7,9,11,14,16,17,11,6
2.4.24,Other SNP,2,2,4,6,8,10,13,17,18,12,7
2.4.24,White Brexit Party,2,2,4,6,7,9,13,17,19,13,8
2.4.24,White Conservatives,1,1,3,4,5,7,11,16,21,17,12
2.4.24,White Greens,2,2,4,6,7,10,13,17,19,13,8
2.4.24,White Labour,2,2,4,6,8,10,14,17,18,12,7
2.4.24,White Liberal Democrats,2,2,4,6,7,10,13,17,18,13,8
2.4.24,White Other,2,3,5,7,9,11,14,16,17,11,6
2.4.24,White SNP,2,2,4,6,8,10,13,17,18,13,8
10.6.24,National,1,2,3,4,6,10,12,17,21,16,9
10.6.24,Female,1,2,3,4,6,10,11,17,21,16,9
10.6.24,Male,2,2,3,4,6,10,12,17,21,15,9
10.6.24,18-24,2,2,4,5,8,12,13,17,19,12,6
10.6.24,25-49,2,2,3,5,7,12,13,17,20,13,7
10.6.24,50-64,1,2,3,4,6,10,12,17,21,15,9
10.6.24,65+,1,1,2,3,4,7,9,15,24,21,14
10.6.24,Asian,1,1,3,4,6,10,12,17,22,16,9
10.6.24,Black,1,1,1,2,4,7,9,14,23,22,16
10.6.24,Mixed,2,2,4,5,8,12,13,17,19,13,7
10.6.24,Other,2,2,3,4,7,11,12,17,21,15,8
10.6.24,White,1,2,3,4,6,10,12,17,21,15,9
10.6.24,Brexit Party,2,2,3,4,7,11,12,17,21,14,8
10.6.24,Conservatives,1,1,2,3,5,8,10,16,23,19,12
10.6.24,Greens,2,3,4,6,9,13,13,16,17,10,5
10.6.24,Labour,2,2,3,5,8,12,13,17,19,12,6
10.6.24,Liberal Democrats,1,2,3,4,6,10,12,17,21,15,8
10.6.24,Other,2,2,4,6,9,13,13,17,18,11,6
10.6.24,SNP,1,1,3,4,6,10,12,17,22,16,9
10.6.24,Female 18-24,2,2,4,5,8,12,13,17,19,12,6
10.6.24,Female 25-49,2,2,3,5,7,11,13,17,20,13,7
10.6.24,Female 50-64,1,1,2,4,6,10,11,17,22,16,9
10.6.24,Female 65+,1,1,2,3,4,7,9,15,24,21,14
10.6.24,Male 18-24,2,2,4,5,8,12,13,17,19,12,6
10.6.24,Male 25-49,2,2,3,5,7,12,13,17,19,13,7
