Date,Demographic.Level,0,1,2,3,4,5,6,7,8,9,10
2.4.24,National,1,2,4,7,7,9,15,21,22,9,3
2.4.24,Female,1,2,4,6,6,8,15,21,23,10,3
2.4.24,Male,2,2,5,8,7,9,15,21,20,9,2
2.4.24,18-24,2,3,6,9,9,10,16,20,17,6,2
2.4.24,25-49,2,2,6,9,8,10,16,21,18,7,2
2.4.24,50-64,1,2,4,7,7,9,15,22,21,8,2
2.4.24,65+,1,1,2,4,4,6,12,21,29,15,4
2.4.24,Asian,2,2,5,8,8,10,16,21,19,7,2
2.4.24,Black,1,1,3,5,5,7,13,21,26,13,4
2.4.24,Mixed,2,2,5,8,7,9,15,21,21,9,2
2.4.24,Other,1,2,4,7,7,9,15,21,22,9,3
2.4.24,White,1,2,4,7,7,9,15,21,22,9,3
2.4.24,Brexit Party,2,2,5,8,8,10,16,20,19,7,2
2.4.24,Conservatives,1,1,3,6,6,8,14,22,25,12,3
2.4.24,Greens,2,2,5,8,8,10,16,21,19,7,2
2.4.24,Labour,2,2,6,9,8,10,16,20,18,7,2
2.4.24,Liberal Democrats,2,2,5,8,7,9,15,21,20,8,2
2.4.24,Other,2,2,5,8,7,9,15,21,20,8,2
2.4.24,SNP,2,2,5,8,8,9,16,21,20,8,2
2.4.24,Female 18-24,2,2,5,8,8,10,16,21,19,7,2
2.4.24,Female 25-49,2,2,5,8,8,10,16,21,19,7,2
2.4.24,Female 50-64,1,2,4,6,6,8,15,22,23,10,3
2.4.24,Female 65+,1,1,2,4,4,6,12,21,29,15,5
2.4.24,Male 18-24,2,3,7,10,9,11,16,19,15,5,1
2.4.24,Male 25-49,2,3,6,9,9,10,16,20,17,6,2
2.4.24,Male 50-64,2,2,5,8,8,10,16,21,19,7,2
2.4.24,Male 65+,1,1,3,4,5,6,12,22,28,14,4
2.4.24,Female Asian,2,2,5,8,7,9,16,21,20,8,2
2.4.24,Female Black,1,1,3,5,5,7,13,21,26,13,4
2.4.24,Female Mixed,1,2,4,7,7,9,15,21,22,9,3
2.4.24,Female Other,1,2,4,7,7,9,15,21,22,9,3
2.4.24,Female White,1,2,4,6,6,8,15,21,23,10,3
2.4.24,Male Asian,2,3,6,9,8,10,16,20,18,7,2
2.4.24,Male Black,1,1,3,5,5,7,13,21,26,13,4
2.4.24,Male Mixed,2,2,5,8,8,9,15,20,19,8,2
2.4.24,Male Other,1,2,4,7,7,9,15,21,22,10,3
2.4.24,Male White,2,2,5,8,7,9,15,21,20,8,2
2.4.24,Female Brexit Party,2,2,5,7,7,9,15,21,21,9,2
2.4.24,Female Conservatives,1,1,3,5,5,7,13,22,26,13,4
2.4.24,Female Greens,2,2,5,7,7,9,16,21,21,8,2
2.4.24,Female Labour,2,2,5,8,8,9,16,21,20,8,2
2.4.24,Female Liberal Democrats,1,2,4,7,7,9,15,21,22,9,3
2.4.24,Female Other,1,2,4,7,7,8,15,22,23,10,3
2.4.24,Female SNP,1,2,4,7,7,9,15,21,21,9,2
2.4.24,Male Brexit Party,2,3,6,9,8,10,16,20,18,7,2
2.4.24,Male Conservatives,1,2,4,6,6,8,14,21,24,11,3
2.4.24,Male Greens,2,3,6,9,9,10,16,20,17,6,2
2.4.24,Male Labour,2,3,6,9,9,10,16,20,17,6,2
2.4.24,Male Liberal Democrats,2,2,5,8,8,10,16,20,19,8,2
2.4.24,Male Other,2,2,5,8,8,10,16,20,19,7,2
2.4.24,Male SNP,2,2,5,8,8,10,16,20,19,7,2
2.4.24,18-24 Asian,2,3,6,10,9,11,16,20,16,6,2
2.4.24,18-24 Black,1,2,4,7,7,9,15,22,21,9,2
2.4.24,18-24 Mixed,3,3,7,11,10,11,16,18,14,5,1
2.4.24,18-24 Other,2,3,7,10,9,11,16,19,16,6,1
2.4.24,18-24 White,2,2,6,9,8,10,16,20,17,6,2
2.4.24,25-49 Asian,2,2,6,9,9,10,16,20,17,6,2
2.4.24,25-49 Black,1,2,4,7,7,9,15,22,22,9,3
2.4.24,25-49 Mixed,2,3,7,10,9,11,16,19,15,5,1
2.4.24,25-49 Other,2,3,6,10,9,11,16,20,16,6,2
2.4.24,25-49 White,2,2,6,9,8,10,16,21,18,7,2
2.4.24,50-64 Asian,2,2,5,8,7,9,16,21,20,8,2
2.4.24,50-64 Black,1,1,3,5,6,8,14,22,25,11,3
2.4.24,50-64 Mixed,2,2,6,9,8,10,16,20,18,7,2
2.4.24,50-64 Other,2,2,5,8,8,10,16,21,19,7,2
2.4.24,50-64 White,1,2,4,7,7,9,16,22,21,8,2
2.4.24,65+ Asian,1,1,3,4,5,6,12,22,28,14,4
2.4.24,65+ Black,1,1,2,3,3,5,10,20,31,19,6
2.4.24,65+ Mixed,1,1,3,5,5,7,14,22,26,12,3
2.4.24,65+ Other,1,1,3,5,5,7,13,22,27,13,4
2.4.24,65+ White,1,1,2,4,4,6,12,21,29,15,4
2.4.24,18-24 Brexit Party,3,4,8,12,10,11,16,17,13,4,1
2.4.24,18-24 Conservatives,2,2,5,8,8,10,16,21,20,8,2
2.4.24,18-24 Greens,2,3,6,9,9,10,16,20,17,6,2
2.4.24,18-24 Labour,2,3,6,9,9,10,16,20,17,6,2
2.4.24,18-24 Liberal Democrats,2,3,6,9,9,10,16,20,17,6,2
2.4.24,18-24 Other,2,3,7,10,9,11,16,19,16,6,1
2.4.24,18-24 SNP,2,2,6,9,9,10,16,20,17,6,2
2.4.24,25-49 Brexit Party,2,3,7,10,9,11,16,19,15,5,1
2.4.24,25-49 Conservatives,1,2,5,7,7,9,16,22,21,8,2
2.4.24,25-49 Greens,2,3,6,9,9,10,16,20,17,6,2
2.4.24,25-49 Labour,2,3,6,9,9,11,16,20,17,6,2
2.4.24,25-49 Liberal Democrats,2,2,6,9,8,10,16,20,17,6,2
2.4.24,25-49 Other,2,3,6,9,9,11,16,20,16,6,2
2.4.24,25-49 SNP,2,2,6,9,8,10,16,21,18,7,2
2.4.24,50-64 Brexit Party,2,3,6,9,9,10,16,20,17,6,2
2.4.24,50-64 Conservatives,1,2,4,6,6,8,15,22,23,10,3
2.4.24,50-64 Greens,2,2,5,8,8,10,16,21,19,7,2
2.4.24,50-64 Labour,2,2,5,8,8,10,16,21,19,7,2
2.4.24,50-64 Liberal Democrats,2,2,5,8,8,9,16,21,20,8,2
2.4.24,50-64 Other,2,2,5,8,8,10,16,21,18,7,2
2.4.24,50-64 SNP,1,2,5,7,7,9,16,22,21,8,2
2.4.24,65+ Brexit Party,1,1,3,6,6,8,14,22,25,11,3
2.4.24,65+ Conservatives,1,1,2,4,4,6,11,21,30,16,5
2.4.24,65+ Greens,1,1,3,5,5,7,13,22,27,13,4
2.4.24,65+ Labour,1,1,3,5,5,7,14,22,26,12,4
2.4.24,65+ Liberal Democrats,1,1,3,5,5,7,13,22,27,13,4
2.4.24,65+ Other,1,1,3,5,5,7,13,22,27,13,4
2.4.24,65+ SNP,1,1,3,5,5,7,13,22,28,13,4
