Ethnicity,Gender,Age,Party2019,N,ethnicity,gender,age,party2019
Asian,Female,18-24,Conservatives,0.000846459,1,1,1,1
Asian,Female,18-24,Labour,0.003668008,1,1,1,2
Asian,Female,18-24,Liberal Democrats,0.000564306,1,1,1,3
Asian,Female,18-24,SNP,0.000282153,1,1,1,4
Asian,Female,18-24,Greens,0.000225716,1,1,1,5
Asian,Female,18-24,Brexit Party,0,1,1,1,6
Asian,Female,18-24,Other,5.64375842468258e-05,1,1,1,7
Black,Female,18-24,Conservatives,0.000486802,2,1,1,1
Black,Female,18-24,Labour,0.002109448,2,1,1,2
Black,Female,18-24,Liberal Democrats,0.000324529,2,1,1,3
Black,Female,18-24,SNP,0.000162273,2,1,1,4
Black,Female,18-24,Greens,0.000129805,2,1,1,5
Black,Female,18-24,Brexit Party,0,2,1,1,6
Black,Female,18-24,Other,3.24511764055509e-05,2,1,1,7
Mixed,Female,18-24,Conservatives,0.000340781,3,1,1,1
Mixed,Female,18-24,Labour,0.001476728,3,1,1,2
Mixed,Female,18-24,Liberal Democrats,0.000227193,3,1,1,3
Mixed,Female,18-24,SNP,0.000113588,3,1,1,4
Mixed,Female,18-24,Greens,9.08702465175256e-05,3,1,1,5
Mixed,Female,18-24,Brexit Party,0,3,1,1,6
Mixed,Female,18-24,Other,2.27175616293814e-05,3,1,1,7
Other,Female,18-24,Conservatives,0.000272141,4,1,1,1
Other,Female,18-24,Labour,0.001179297,4,1,1,2
Other,Female,18-24,Liberal Democrats,0.000181428,4,1,1,3
Other,Female,18-24,SNP,9.07138134229085e-05,4,1,1,4
Other,Female,18-24,Greens,7.25675744473353e-05,4,1,1,5
Other,Female,18-24,Brexit Party,0,4,1,1,6
Other,Female,18-24,Other,1.81462389755732e-05,4,1,1,7
White,Female,18-24,Conservatives,0.005584575,5,1,1,1
White,Female,18-24,Labour,0.024199817,5,1,1,2
White,Female,18-24,Liberal Democrats,0.003723056,5,1,1,3
White,Female,18-24,SNP,0.001861519,5,1,1,4
White,Female,18-24,Greens,0.001489226,5,1,1,5
White,Female,18-24,Brexit Party,0,5,1,1,6
White,Female,18-24,Other,0.000372311,5,1,1,7
Asian,Male,18-24,Conservatives,0.001877197,1,2,1,1
Asian,Male,18-24,Labour,0.003083974,1,2,1,2
Asian,Male,18-24,Liberal Democrats,0.000804518,1,2,1,3
Asian,Male,18-24,SNP,0.000469299,1,2,1,4
Asian,Male,18-24,Greens,0.000268178,1,2,1,5
Asian,Male,18-24,Brexit Party,0.000134081,1,2,1,6
Asian,Male,18-24,Other,0.000134081,1,2,1,7
Black,Male,18-24,Conservatives,0.000905643,2,2,1,1
Black,Male,18-24,Labour,0.001487835,2,2,1,2
Black,Male,18-24,Liberal Democrats,0.000388128,2,2,1,3
Black,Male,18-24,SNP,0.000226411,2,2,1,4
Black,Male,18-24,Greens,0.00012937,2,2,1,5
Black,Male,18-24,Brexit Party,6.46937753516125e-05,2,2,1,6
Black,Male,18-24,Other,6.46937753516125e-05,2,2,1,7
Mixed,Male,18-24,Conservatives,0.00082369,3,2,1,1
Mixed,Male,18-24,Labour,0.001353216,3,2,1,2
Mixed,Male,18-24,Liberal Democrats,0.000353017,3,2,1,3
Mixed,Male,18-24,SNP,0.000205918,3,2,1,4
Mixed,Male,18-24,Greens,0.000117672,3,2,1,5
Mixed,Male,18-24,Brexit Party,5.88362250309533e-05,3,2,1,6
Mixed,Male,18-24,Other,5.88362250309533e-05,3,2,1,7
Other,Male,18-24,Conservatives,0.000512127,4,2,1,1
Other,Male,18-24,Labour,0.000841332,4,2,1,2
Other,Male,18-24,Liberal Democrats,0.000219476,4,2,1,3
Other,Male,18-24,SNP,0.000128032,4,2,1,4
Other,Male,18-24,Greens,7.31585439158885e-05,4,2,1,5
Other,Male,18-24,Brexit Party,3.6587962685423e-05,4,2,1,6
Other,Male,18-24,Other,3.6587962685423e-05,4,2,1,7
White,Male,18-24,Conservatives,0.010710922,5,2,1,1
White,Male,18-24,Labour,0.017596533,5,2,1,2
White,Male,18-24,Liberal Democrats,0.00459039,5,2,1,3
White,Male,18-24,SNP,0.002677735,5,2,1,4
White,Male,18-24,Greens,0.001530124,5,2,1,5
White,Male,18-24,Brexit Party,0.000765062,5,2,1,6
White,Male,18-24,Other,0.000765062,5,2,1,7
Asian,Female,25-49,Conservatives,0.007246885,1,1,2,1
Asian,Female,25-49,Labour,0.010190921,1,1,2,2
Asian,Female,25-49,Liberal Democrats,0.002717573,1,1,2,3
Asian,Female,25-49,SNP,0.001132332,1,1,2,4
Asian,Female,25-49,Greens,0.000679389,1,1,2,5
Asian,Female,25-49,Brexit Party,0.000226463,1,1,2,6
Asian,Female,25-49,Other,0.000226463,1,1,2,7
Black,Female,25-49,Conservatives,0.002882401,2,1,2,1
Black,Female,25-49,Labour,0.004053373,2,1,2,2
Black,Female,25-49,Liberal Democrats,0.001080901,2,1,2,3
Black,Female,25-49,SNP,0.000450371,2,1,2,4
Black,Female,25-49,Greens,0.000270229,2,1,2,5
Black,Female,25-49,Brexit Party,9.00706995894831e-05,2,1,2,6
Black,Female,25-49,Other,9.00706995894831e-05,2,1,2,7
Mixed,Female,25-49,Conservatives,0.001666673,3,1,2,1
Mixed,Female,25-49,Labour,0.002343768,3,1,2,2
Mixed,Female,25-49,Liberal Democrats,0.000625002,3,1,2,3
Mixed,Female,25-49,SNP,0.000260426,3,1,2,4
Mixed,Female,25-49,Greens,0.000156259,3,1,2,5
Mixed,Female,25-49,Brexit Party,5.20922205074644e-05,3,1,2,6
Mixed,Female,25-49,Other,5.20922205074644e-05,3,1,2,7
Other,Female,25-49,Conservatives,0.001615606,4,1,2,1
Other,Female,25-49,Labour,0.002271947,4,1,2,2
Other,Female,25-49,Liberal Democrats,0.000605848,4,1,2,3
Other,Female,25-49,SNP,0.000252431,4,1,2,4
Other,Female,25-49,Greens,0.000151462,4,1,2,5
Other,Female,25-49,Brexit Party,5.04931266513794e-05,4,1,2,6
Other,Female,25-49,Other,5.04931266513794e-05,4,1,2,7
White,Female,25-49,Conservatives,0.049298291,5,1,2,1
White,Female,25-49,Labour,0.069325725,5,1,2,2
White,Female,25-49,Liberal Democrats,0.018486863,5,1,2,3
White,Female,25-49,SNP,0.007702852,5,1,2,4
White,Female,25-49,Greens,0.004621711,5,1,2,5
White,Female,25-49,Brexit Party,0.00154057,5,1,2,6
White,Female,25-49,Other,0.00154057,5,1,2,7
Asian,Male,25-49,Conservatives,0.00726298,1,2,2,1
Asian,Male,25-49,Labour,0.008300549,1,2,2,2
Asian,Male,25-49,Liberal Democrats,0.002905189,1,2,2,3
Asian,Male,25-49,SNP,0.001037569,1,2,2,4
Asian,Male,25-49,Greens,0.000622534,1,2,2,5
Asian,Male,25-49,Brexit Party,0.000415034,1,2,2,6
Asian,Male,25-49,Other,0.000415034,1,2,2,7
Black,Male,25-49,Conservatives,0.002734033,2,2,2,1
Black,Male,25-49,Labour,0.003124612,2,2,2,2
Black,Male,25-49,Liberal Democrats,0.001093624,2,2,2,3
Black,Male,25-49,SNP,0.000390579,2,2,2,4
Black,Male,25-49,Greens,0.000234354,2,2,2,5
Black,Male,25-49,Brexit Party,0.000156225,2,2,2,6
Black,Male,25-49,Other,0.000156225,2,2,2,7
Mixed,Male,25-49,Conservatives,0.001605177,3,2,2,1
Mixed,Male,25-49,Labour,0.001834491,3,2,2,2
Mixed,Male,25-49,Liberal Democrats,0.000642071,3,2,2,3
Mixed,Male,25-49,SNP,0.000229314,3,2,2,4
Mixed,Male,25-49,Greens,0.000137592,3,2,2,5
