"Date","Demographic.Level","Never","Rarely","Sometimes","Very.often","Always"
"18.3.24","National",15,40,39,6,0
"18.3.24","Female",14,39,41,5,0
"18.3.24","Male",15,41,37,6,0
"18.3.24","18-24",15,50,29,6,0
"18.3.24","25-49",17,35,40,7,0
"18.3.24","50-64",17,39,37,7,0
"18.3.24","65+",11,44,43,3,0
"18.3.24","Asian",23,34,33,10,0
"18.3.24","Black",8,66,18,8,0
"18.3.24","Mixed",17,55,26,1,0
"18.3.24","Other Ethnicity",7,73,20,1,0
"18.3.24","White",15,37,43,6,0
"18.3.24","Brexit Party",26,63,11,0,0
"18.3.24","Conservatives",15,40,39,5,0
"18.3.24","Greens",23,38,33,7,0
"18.3.24","Labour",16,39,40,6,0
"18.3.24","Liberal Democrats",6,32,50,11,0
"18.3.24","Other Party",18,39,32,11,0
"18.3.24","SNP",14,60,23,3,0
"18.3.24","Female 18-24",14,51,29,5,0
"18.3.24","Female 25-49",17,35,41,7,0
"18.3.24","Female 50-64",15,41,37,7,0
"18.3.24","Female 65+",12,38,48,2,0
"18.3.24","Male 18-24",15,49,29,6,0
"18.3.24","Male 25-49",17,35,39,8,0
"18.3.24","Male 50-64",19,37,37,8,0
"18.3.24","Male 65+",10,50,37,4,0
"18.3.24","Female Asian",25,35,31,9,0
"18.3.24","Female Black",11,56,20,13,0
"18.3.24","Female Mixed",11,55,34,0,0
"18.3.24","Female Other",9,72,17,1,0
"18.3.24","Female White",14,36,44,5,0
"18.3.24","Male Asian",20,34,34,11,0
"18.3.24","Male Black",6,73,16,5,0
"18.3.24","Male Mixed",24,56,19,2,0
"18.3.24","Male Other",6,73,21,0,0
"18.3.24","Male White",15,37,41,7,0
"18.3.24","Female Brexit Party",33,50,17,0,0
"18.3.24","Female Conservatives",14,38,43,4,0
"18.3.24","Female Greens",24,40,32,4,0
"18.3.24","Female Labour",16,38,40,6,0
"18.3.24","Female Liberal Democrats",8,33,49,10,1
"18.3.24","Female Other",14,41,37,8,0
"18.3.24","Female SNP",13,60,26,0,0
"18.3.24","Male Brexit Party",22,70,8,0,0
"18.3.24","Male Conservatives",16,43,35,6,0
"18.3.24","Male Greens",21,35,34,10,0
"18.3.24","Male Labour",16,39,40,5,0
"18.3.24","Male Liberal Democrats",5,31,52,13,0
"18.3.24","Male Other",21,37,30,12,0
"18.3.24","Male SNP",14,60,21,5,0
"18.3.24","18-24 Asian",37,22,30,11,0
"18.3.24","18-24 Black",6,51,27,15,0
"18.3.24","18-24 Mixed",23,48,29,0,0
"18.3.24","18-24 Other",26,58,16,0,0
"18.3.24","18-24 White",11,54,30,5,0
"18.3.24","25-49 Asian",19,39,31,11,0
"18.3.24","25-49 Black",10,52,30,8,0
"18.3.24","25-49 Mixed",25,31,40,4,0
"18.3.24","25-49 Other",15,63,22,0,0
"18.3.24","25-49 White",17,33,43,7,0
"18.3.24","50-64 Asian",26,29,33,13,0
"18.3.24","50-64 Black",21,31,25,23,0
"18.3.24","50-64 Mixed",40,30,31,0,0
"18.3.24","50-64 Other",0,42,53,5,0
"18.3.24","50-64 White",16,40,38,7,0
"18.3.24","65+ Asian",18,38,43,0,0
"18.3.24","65+ Black",1,99,0,0,0
"18.3.24","65+ Mixed",8,74,18,0,0
"18.3.24","65+ Other",0,89,11,0,0
"18.3.24","65+ White",12,33,51,4,0
"18.3.24","18-24 Brexit Party",55,45,0,0,0
"18.3.24","18-24 Conservatives",7,57,36,0,0
"18.3.24","18-24 Greens",45,55,0,0,0
"18.3.24","18-24 Labour",19,42,34,5,0
"18.3.24","18-24 Liberal Democrats",0,53,26,22,0
"18.3.24","18-24 Other",36,27,0,37,0
"18.3.24","18-24 SNP",0,100,0,0,0
"18.3.24","25-49 Brexit Party",29,59,12,0,0
"18.3.24","25-49 Conservatives",17,33,42,9,0
"18.3.24","25-49 Greens",32,29,33,7,0
"18.3.24","25-49 Labour",18,35,40,6,1
"18.3.24","25-49 Liberal Democrats",8,33,50,10,0
"18.3.24","25-49 Other",19,44,30,6,0
"18.3.24","25-49 SNP",20,51,29,0,0
"18.3.24","50-64 Brexit Party",22,78,0,0,0
"18.3.24","50-64 Conservatives",20,38,35,7,0
"18.3.24","50-64 Greens",4,43,42,11,0
"18.3.24","50-64 Labour",14,39,42,5,0
"18.3.24","50-64 Liberal Democrats",11,30,46,14,0
"18.3.24","50-64 Other",21,32,27,20,0
"18.3.24","50-64 SNP",11,51,31,7,0
"18.3.24","65+ Brexit Party",22,55,23,0,0
"18.3.24","65+ Conservatives",13,45,40,2,0
"18.3.24","65+ Greens",7,38,48,7,0
"18.3.24","65+ Labour",7,46,43,4,0
"18.3.24","65+ Liberal Democrats",2,24,65,7,2
"18.3.24","65+ Other",10,42,48,0,0
"18.3.24","65+ SNP",12,61,20,7,0
"18.3.24","Asian Brexit Party",0,97,3,0,0
"18.3.24","Asian Conservatives",19,24,48,9,0
"18.3.24","Asian Greens",78,0,4,18,0
"18.3.24","Asian Labour",32,41,19,8,0
"18.3.24","Asian Liberal Democrats",6,29,41,24,0
"18.3.24","Asian Other",0,100,0,0,0
"18.3.24","Asian SNP",0,58,42,0,0
"18.3.24","Black Brexit Party",0,100,0,0,0
"18.3.24","Black Conservatives",5,66,18,10,0
"18.3.24","Black Greens",100,0,0,0,0
"18.3.24","Black Labour",10,50,30,11,0
"18.3.24","Black Liberal Democrats",1,99,0,0,0
"18.3.24","Black Other",0,100,0,0,0
"18.3.24","Black SNP",0,100,0,0,0
"18.3.24","Mixed Brexit Party",0,100,0,0,0
"18.3.24","Mixed Conservatives",20,67,13,0,0
"18.3.24","Mixed Greens",0,100,0,0,0
"18.3.24","Mixed Labour",26,42,29,3,0
"18.3.24","Mixed Liberal Democrats",0,0,100,0,0
"18.3.24","Mixed Other",0,100,0,0,0
"18.3.24","Mixed SNP",0,98,2,0,0
"18.3.24","Other Brexit Party",0,100,0,0,0
"18.3.24","Other Conservatives",0,93,7,0,0
"18.3.24","Other Greens",57,18,23,2,0
"18.3.24","Other Labour",20,64,14,2,0
"18.3.24","Other Liberal Democrats",0,0,100,0,0
"18.3.24","Other Ethnicity Other Party",0,100,0,0,0
"18.3.24","Other SNP",0,100,0,0,0
"18.3.24","White Brexit Party",32,54,14,0,0
"18.3.24","White Conservatives",16,36,43,5,0
"18.3.24","White Greens",12,43,39,6,0
"18.3.24","White Labour",14,36,44,5,0
"18.3.24","White Liberal Democrats",7,30,50,12,1
"18.3.24","White Other",23,23,41,13,0
"18.3.24","White SNP",17,55,25,3,0
"19.2.24","National",17,36,41,5,1
"19.2.24","Female",15,37,43,4,1
"19.2.24","Male",18,35,39,6,1
"19.2.24","18-24",7,49,34,6,4
"19.2.24","25-49",17,35,41,6,0
"19.2.24","50-64",18,39,36,6,1
"19.2.24","65+",18,31,47,4,0
"19.2.24","Asian",22,37,35,3,3
"19.2.24","Black",3,27,59,5,6
