"Date","Demographic.Factors","Demographic.Level","Strongly.Approve","Somewhat.Approve","Somewhat.Disapprove","Strongly.Disapprove"
"5.3.25","National","National",22.9,17.7,9.9,49.5
"5.3.25","Politics","Democrat",11.7,2.3,2.2,83.8
"5.3.25","Politics","Independent",33.1,23.9,14.6,28.4
"5.3.25","Politics","Republican",30.7,32.2,16.5,20.6
"5.3.25","Age","18-24",21.8,22.4,10.2,45.5
"5.3.25","Age","25-34",21.3,18.5,9.4,50.8
"5.3.25","Age","35-44",21.4,15.5,8.9,54.2
"5.3.25","Age","45-54",22.9,21,10.8,45.3
"5.3.25","Age","55-64",24,16.9,10.2,48.8
"5.3.25","Age","65+",23.6,17.2,10.1,49
"5.3.25","Sex","Female",21.4,15.4,8.8,54.3
"5.3.25","Sex","Gender Expansive",0,0,0,100
"5.3.25","Sex","Male",24.5,20.2,11.1,44.2
"5.3.25","Ethnicity","African American",19.2,13.4,6.8,60.6
"5.3.25","Ethnicity","Asian",21.2,16.2,9,53.7
"5.3.25","Ethnicity","Hispanic",19.2,12.4,7.4,60.9
"5.3.25","Ethnicity","White",24,19.2,10.8,46.1
"5.3.25","Education","College",22.3,18.1,9.9,49.6
"5.3.25","Education","No College",23.2,17.5,9.9,49.4
"5.3.25","Urbanicity","Rural",26.1,21.1,11.9,40.9
"5.3.25","Urbanicity","Suburban",23,18.3,10.2,48.5
"5.3.25","Urbanicity","Urban",19.5,13.6,7.6,59.3
"3.2.25","National","National",23.6,18.7,10,47.7
"3.2.25","Politics","Democrat",13.8,2.8,2.7,80.7
"3.2.25","Politics","Independent",33.5,22.6,13.9,30
"3.2.25","Politics","Republican",29.9,34.9,16.4,18.8
"3.2.25","Age","18-24",22.8,20.4,9.9,46.9
"3.2.25","Age","25-34",22.5,20.7,9.7,47.2
"3.2.25","Age","35-44",22.5,18.8,9.5,49.2
"3.2.25","Age","45-54",23.5,23.4,11,42.2
"3.2.25","Age","55-64",24.5,17,10,48.4
"3.2.25","Age","65+",24.1,16.9,9.9,49.2
"3.2.25","Sex","Female",22.3,15.7,8.8,53.2
"3.2.25","Sex","Gender Expansive",15.9,6.3,4.6,73.2
"3.2.25","Sex","Male",24.9,22.1,11.3,41.7
"3.2.25","Ethnicity","African American",20.9,14.1,7.1,57.9
"3.2.25","Ethnicity","Asian",22.2,17,9,51.8
"3.2.25","Ethnicity","Hispanic",20.8,14.3,7.9,57
"3.2.25","Ethnicity","White",24.4,20.1,10.7,44.8
"3.2.25","Education","College",22.9,18.9,9.9,48.3
"3.2.25","Education","No College",23.9,18.7,10,47.4
"3.2.25","Urbanicity","Rural",26.3,21.6,11.7,40.4
"3.2.25","Urbanicity","Suburban",23.6,20.1,10.3,45.9
"3.2.25","Urbanicity","Urban",20.8,14.1,7.7,57.3
"13.1.25","National","National",25.7,22.7,11.4,40.2
"13.1.25","Politics","Democrat",21.8,6.8,5.5,65.9
"13.1.25","Politics","Independent",28.8,34.5,15.9,20.8
"13.1.25","Politics","Republican",28.7,35.1,16,20.2
"13.1.25","Age","18-24",25,29.8,12.1,33.1
"13.1.25","Age","25-34",25.2,27,11.7,36.1
"13.1.25","Age","35-44",25.1,21.5,10.9,42.5
"13.1.25","Age","45-54",25.6,25.4,12,37
"13.1.25","Age","55-64",26.2,21,11.4,41.3
"13.1.25","Age","65+",26,20.9,11.3,41.8
"13.1.25","Sex","Female",25.3,20.2,10.6,43.9
"13.1.25","Sex","Gender Expansive",0,0,0,100
"13.1.25","Sex","Male",26.2,25.3,12.3,36.2
"13.1.25","Ethnicity","African American",26.9,22,10.6,40.6
"13.1.25","Ethnicity","Asian",25.3,21.3,10.8,42.7
"13.1.25","Ethnicity","Hispanic",22.7,13.4,8.2,55.7
"13.1.25","Ethnicity","White",26,24.1,12,37.8
"13.1.25","Education","College",25.5,20.4,10.9,43.2
"13.1.25","Education","No College",25.9,23.8,11.7,38.6
"13.1.25","Urbanicity","Rural",26.6,28.3,13.3,31.7
"13.1.25","Urbanicity","Suburban",26,22.9,11.6,39.5
"13.1.25","Urbanicity","Urban",24.5,16.7,9.3,49.5
"17.12.24","National","National",29.1,18.8,10.7,41.5
"17.12.24","Politics","Democrat",23.6,6,5.1,65.3
"17.12.24","Politics","Independent",32.8,29.8,15.2,22.2
"17.12.24","Politics","Republican",33.5,28,14.9,23.6
"17.12.24","Age","18-24",28.7,25.5,11.9,33.9
"17.12.24","Age","25-34",28.8,21.8,11.1,38.3
"17.12.24","Age","35-44",28.8,20.6,11,39.6
"17.12.24","Age","45-54",29.3,20.3,11.2,39.2
"17.12.24","Age","55-64",29.8,20,11.4,38.8
"17.12.24","Age","65+",28.9,15.5,9.8,45.7
"17.12.24","Sex","Female",28.2,15.7,9.5,46.5
"17.12.24","Sex","Gender Expansive",7.4,1.4,1.3,90
"17.12.24","Sex","Male",30,22.1,11.9,36
"17.12.24","Ethnicity","African American",29.5,18.7,9.9,41.9
"17.12.24","Ethnicity","Asian",28.3,19.2,10.4,42.1
"17.12.24","Ethnicity","Hispanic",26.9,15.3,9,48.8
"17.12.24","Ethnicity","White",29.4,19.3,11,40.3
"17.12.24","Education","College",28.9,19,10.7,41.4
"17.12.24","Education","No College",29.2,18.7,10.7,41.5
"17.12.24","Urbanicity","Rural",30.6,22,12.2,35.2
"17.12.24","Urbanicity","Suburban",29.3,19.4,10.9,40.4
"17.12.24","Urbanicity","Urban",27.3,14.7,8.9,49.1
"2.4.25","National","National",22.5,19.4,11,47.1
