"Date","Demographic.Level","Not.at.all","Somewhat","Moderately","Very.much.so","Completely"
"18.3.24","National",22,35,32,11,0
"18.3.24","Female",22,38,33,7,0
"18.3.24","Male",23,32,31,14,0
"18.3.24","18-24",15,48,30,7,0
"18.3.24","25-49",24,34,30,12,1
"18.3.24","50-64",26,32,30,11,1
"18.3.24","65+",20,33,37,10,0
"18.3.24","Asian",26,30,34,8,2
"18.3.24","Black",9,45,37,9,0
"18.3.24","Mixed",16,37,46,1,0
"18.3.24","Other Ethnicity",62,27,4,7,0
"18.3.24","White",22,35,32,11,0
"18.3.24","Brexit Party",36,33,32,0,0
"18.3.24","Conservatives",25,33,32,10,1
"18.3.24","Greens",26,39,27,6,1
"18.3.24","Labour",21,40,29,9,0
"18.3.24","Liberal Democrats",12,27,41,20,0
"18.3.24","Other Party",30,34,24,11,0
"18.3.24","SNP",23,32,37,8,0
"18.3.24","Female 18-24",12,61,24,3,0
"18.3.24","Female 25-49",25,38,29,7,0
"18.3.24","Female 50-64",24,36,30,8,1
"18.3.24","Female 65+",20,30,43,7,0
"18.3.24","Male 18-24",17,36,35,12,0
"18.3.24","Male 25-49",23,29,30,17,1
"18.3.24","Male 50-64",27,28,30,15,0
"18.3.24","Male 65+",21,36,31,12,0
"18.3.24","Female Asian",29,31,30,7,3
"18.3.24","Female Black",11,42,40,7,0
"18.3.24","Female Mixed",15,34,51,0,0
"18.3.24","Female Other",61,29,5,5,0
"18.3.24","Female White",21,39,33,7,0
"18.3.24","Male Asian",23,30,38,9,0
"18.3.24","Male Black",8,47,35,10,0
"18.3.24","Male Mixed",17,40,42,2,0
"18.3.24","Male Other",63,26,3,8,0
"18.3.24","Male White",22,31,31,16,1
"18.3.24","Female Brexit Party",35,17,48,0,0
"18.3.24","Female Conservatives",22,35,35,7,1
"18.3.24","Female Greens",27,49,20,2,2
"18.3.24","Female Labour",23,43,27,6,0
"18.3.24","Female Liberal Democrats",18,29,41,11,0
"18.3.24","Female Other",23,46,27,4,0
"18.3.24","Female SNP",26,36,35,3,0
"18.3.24","Male Brexit Party",36,41,23,0,0
"18.3.24","Male Conservatives",28,31,28,12,1
"18.3.24","Male Greens",26,27,36,10,0
"18.3.24","Male Labour",20,36,31,13,0
"18.3.24","Male Liberal Democrats",6,24,41,29,0
"18.3.24","Male Other",34,28,23,16,0
"18.3.24","Male SNP",20,28,38,14,0
"18.3.24","18-24 Asian",21,37,31,11,0
"18.3.24","18-24 Black",12,30,57,0,0
"18.3.24","18-24 Mixed",0,44,56,0,0
"18.3.24","18-24 Other",85,0,0,15,0
"18.3.24","18-24 White",12,54,27,8,0
"18.3.24","25-49 Asian",27,28,36,9,0
"18.3.24","25-49 Black",15,29,38,17,0
"18.3.24","25-49 Mixed",39,20,37,4,0
"18.3.24","25-49 Other",29,71,0,0,0
"18.3.24","25-49 White",24,34,29,12,1
"18.3.24","50-64 Asian",25,32,27,8,8
"18.3.24","50-64 Black",17,53,12,19,0
"18.3.24","50-64 Mixed",64,31,5,0,0
"18.3.24","50-64 Other",8,56,35,0,0
"18.3.24","50-64 White",26,31,31,11,0
"18.3.24","65+ Asian",32,31,37,0,0
"18.3.24","65+ Black",0,59,41,0,0
"18.3.24","65+ Mixed",0,45,55,0,0
"18.3.24","65+ Other",89,0,0,11,0
"18.3.24","65+ White",18,32,38,12,0
"18.3.24","18-24 Brexit Party",3,53,44,0,0
"18.3.24","18-24 Conservatives",15,44,32,9,0
"18.3.24","18-24 Greens",21,43,36,0,0
"18.3.24","18-24 Labour",18,53,28,1,0
"18.3.24","18-24 Liberal Democrats",0,50,29,21,0
"18.3.24","18-24 Other",36,24,0,40,0
"18.3.24","18-24 SNP",1,26,41,32,0
"18.3.24","25-49 Brexit Party",50,25,25,0,0
"18.3.24","25-49 Conservatives",26,33,27,13,1
"18.3.24","25-49 Greens",32,40,17,9,2
"18.3.24","25-49 Labour",23,36,29,11,1
"18.3.24","25-49 Liberal Democrats",15,27,42,16,0
"18.3.24","25-49 Other",38,31,31,0,0
"18.3.24","25-49 SNP",28,39,31,2,0
"18.3.24","50-64 Brexit Party",58,32,10,0,0
"18.3.24","50-64 Conservatives",28,31,30,10,1
"18.3.24","50-64 Greens",34,37,25,5,0
"18.3.24","50-64 Labour",19,37,33,10,1
"18.3.24","50-64 Liberal Democrats",17,26,35,22,0
"18.3.24","50-64 Other",34,29,6,30,0
"18.3.24","50-64 SNP",32,36,32,0,0
"18.3.24","65+ Brexit Party",7,37,56,0,0
"18.3.24","65+ Conservatives",24,32,36,8,0
"18.3.24","65+ Greens",5,38,50,8,0
"18.3.24","65+ Labour",21,44,25,9,0
"18.3.24","65+ Liberal Democrats",7,18,49,26,0
"18.3.24","65+ Other",16,45,39,0,0
"18.3.24","65+ SNP",19,13,55,13,0
"18.3.24","Asian Brexit Party",58,38,5,0,0
"18.3.24","Asian Conservatives",11,31,41,13,4
"18.3.24","Asian Greens",92,0,8,0,0
"18.3.24","Asian Labour",39,35,21,5,0
"18.3.24","Asian Liberal Democrats",24,23,44,9,0
"18.3.24","Asian Other",0,100,0,0,0
"18.3.24","Asian SNP",0,0,100,0,0
