"Date","Demographic.Level","Extremely.likely","Not.at.all.likely","Not.very.likely","Somewhat.likely","Very.likely"
"13.8.24","National",72,3,4,7,14
"13.8.24","Democrat",76,3,4,6,11
"13.8.24","Independent",62,3,5,9,20
"13.8.24","Republican",71,3,5,7,14
"13.8.24","18-24",45,4,6,12,32
"13.8.24","25-34",51,4,6,12,27
"13.8.24","35-44",69,3,5,8,15
"13.8.24","45-54",74,3,4,7,12
"13.8.24","55-64",72,3,5,7,13
"13.8.24","65+",80,2,3,5,9
"13.8.24","Female",75,3,4,7,12
"13.8.24","Gender Expansive",63,3,5,9,19
"13.8.24","Male",69,3,5,8,16
"13.8.24","African American",62,3,5,9,20
"13.8.24","Asian",67,3,5,8,16
"13.8.24","Hispanic",74,3,4,7,12
"13.8.24","White",73,3,4,7,13
"13.8.24","College",77,3,4,6,11
"13.8.24","No College",69,3,5,8,15
"13.8.24","Rural",69,3,5,8,15
"13.8.24","Suburban",74,3,4,7,12
"13.8.24","Urban",71,3,4,7,14
"13.8.24","Alabama",69,3,5,8,15
"13.8.24","Alaska",72,3,4,7,13
"13.8.24","Arizona",72,3,4,7,14
"13.8.24","Arkansas",71,3,4,7,14
"13.8.24","California",72,3,4,7,14
"13.8.24","Colorado",71,3,4,7,14
"13.8.24","Connecticut",74,3,4,7,12
"13.8.24","Delaware",73,3,4,7,13
"13.8.24","District of Columbia",72,3,4,7,13
"13.8.24","Florida",73,3,4,7,13
"13.8.24","Georgia",69,3,5,8,16
"13.8.24","Hawaii",75,3,4,7,12
"13.8.24","Idaho",72,3,4,7,13
"13.8.24","Illinois",72,3,4,7,14
"13.8.24","Indiana",71,3,4,7,14
"13.8.24","Iowa",71,3,4,7,14
"13.8.24","Kansas",70,3,5,8,15
"13.8.24","Kentucky",71,3,4,7,14
"13.8.24","Louisiana",69,3,5,8,15
"13.8.24","Maine",74,3,4,7,12
"13.8.24","Maryland",71,3,4,7,14
"13.8.24","Massachusetts",74,3,4,7,12
"13.8.24","Michigan",71,3,4,8,14
"13.8.24","Minnesota",73,3,4,7,13
"13.8.24","Mississippi",72,3,4,7,14
"13.8.24","Missouri",71,3,4,7,14
"13.8.24","Montana",72,3,4,7,14
"13.8.24","Nebraska",72,3,4,7,14
"13.8.24","Nevada",71,3,4,7,14
"13.8.24","New Hampshire",77,3,4,6,11
"13.8.24","New Jersey",72,3,4,7,13
"13.8.24","New Mexico",73,3,4,7,13
"13.8.24","New York",72,3,4,7,14
"13.8.24","North Carolina",70,3,5,8,15
"13.8.24","North Dakota",75,3,4,7,12
"13.8.24","Ohio",72,3,4,7,13
"13.8.24","Oklahoma",72,3,4,7,13
"13.8.24","Oregon",73,3,4,7,13
"13.8.24","Pennsylvania",73,3,4,7,13
"13.8.24","Rhode Island",73,3,4,7,13
"13.8.24","South Carolina",71,3,5,8,14
"13.8.24","South Dakota",74,3,4,7,12
"13.8.24","Tennessee",71,3,4,7,14
"13.8.24","Texas",71,3,4,8,14
"13.8.24","Utah",74,3,4,7,12
"13.8.24","Vermont",74,3,4,7,12
"13.8.24","Virginia",70,3,4,8,14
"13.8.24","Washington",72,3,4,7,14
"13.8.24","West Virginia",71,3,4,7,14
"13.8.24","Wisconsin",75,3,4,7,11
"13.8.24","Wyoming",74,3,4,7,12
"27.8.24","National",68,3,4,9,16
"27.8.24","Democrat",73,3,4,7,12
"27.8.24","Independent",51,4,6,12,27
"27.8.24","Republican",70,3,4,8,14
"27.8.24","18-24",45,4,6,13,32
"27.8.24","25-34",50,4,6,12,28
"27.8.24","35-44",62,4,5,10,19
"27.8.24","45-54",64,4,5,10,18
"27.8.24","55-64",71,3,4,8,13
"27.8.24","65+",77,3,4,7,10
"27.8.24","Female",70,3,4,8,14
"27.8.24","Gender Expansive",79,3,3,6,9
"27.8.24","Male",66,4,5,9,17
"27.8.24","African American",56,4,5,11,23
"27.8.24","Asian",58,4,5,11,22
"27.8.24","Hispanic",66,4,5,9,17
"27.8.24","White",71,3,4,8,14
"27.8.24","College",75,3,4,7,11
"27.8.24","No College",64,4,5,9,18
"27.8.24","Rural",68,3,4,9,16
"27.8.24","Suburban",69,3,4,8,15
"27.8.24","Urban",66,4,5,9,17
"27.8.24","Alabama",66,4,5,9,17
"27.8.24","Alaska",69,3,4,8,15
"27.8.24","Arizona",67,3,4,9,16
"27.8.24","Arkansas",69,3,4,8,15
"27.8.24","California",66,3,5,9,17
"27.8.24","Colorado",68,3,4,9,16
"27.8.24","Connecticut",71,3,4,8,14
"27.8.24","Delaware",70,3,4,8,14
"27.8.24","District of Columbia",67,3,4,9,16
"27.8.24","Florida",68,3,4,9,16
"27.8.24","Georgia",65,4,5,9,18
"27.8.24","Hawaii",70,3,4,8,14
"27.8.24","Idaho",69,3,4,8,15
"27.8.24","Illinois",68,3,4,9,16
"27.8.24","Indiana",68,3,4,9,16
"27.8.24","Iowa",69,3,4,8,15
"27.8.24","Kansas",67,3,4,9,17
"27.8.24","Kentucky",69,3,4,8,15
"27.8.24","Louisiana",65,4,5,9,17
"27.8.24","Maine",73,3,4,8,13
"27.8.24","Maryland",68,3,4,9,16
"27.8.24","Massachusetts",71,3,4,8,14
"27.8.24","Michigan",67,3,4,9,16
"27.8.24","Minnesota",71,3,4,8,14
"27.8.24","Mississippi",69,3,4,8,15
"27.8.24","Missouri",68,3,4,9,16
"27.8.24","Montana",70,3,4,8,14
"27.8.24","Nebraska",69,3,4,8,15
"27.8.24","Nevada",66,4,5,9,17
"27.8.24","New Hampshire",75,3,4,7,12
"27.8.24","New Jersey",68,3,4,9,16
"27.8.24","New Mexico",70,3,4,8,15
"27.8.24","New York",67,3,4,9,16
"27.8.24","North Carolina",67,3,4,9,16
"27.8.24","North Dakota",72,3,4,8,13
"27.8.24","Ohio",69,3,4,8,15
"27.8.24","Oklahoma",69,3,4,8,15
"27.8.24","Oregon",69,3,4,8,15
"27.8.24","Pennsylvania",70,3,4,8,15
"27.8.24","Rhode Island",69,3,4,8,15
"27.8.24","South Carolina",67,3,4,9,16
"27.8.24","South Dakota",73,3,4,8,13
"27.8.24","Tennessee",68,3,4,8,15
"27.8.24","Texas",66,4,5,9,17
"27.8.24","Utah",69,3,4,8,15
"27.8.24","Vermont",74,3,4,7,12
"27.8.24","Virginia",67,3,4,9,16
"27.8.24","Washington",67,3,4,9,16
"27.8.24","West Virginia",70,3,4,8,15
"27.8.24","Wisconsin",73,3,4,8,13
"27.8.24","Wyoming",72,3,4,8,13
"11.9.24","National",70,3,5,8,14
"11.9.24","Democrat",75,3,4,7,11
"11.9.24","Independent",56,4,6,11,23
"11.9.24","Republican",71,3,5,8,13
"11.9.24","18-24",46,4,6,13,30
"11.9.24","25-34",54,4,6,12,24
"11.9.24","35-44",65,4,5,9,16
"11.9.24","45-54",71,3,5,8,13
"11.9.24","55-64",75,3,4,7,11
"11.9.24","65+",76,3,4,7,10
"11.9.24","Female",73,3,4,7,12
"11.9.24","Gender Expansive",68,3,5,9,15
"11.9.24","Male",68,3,5,9,15
"11.9.24","African American",64,4,5,10,17
"11.9.24","Asian",54,4,6,11,24
"11.9.24","Hispanic",72,3,5,8,13
"11.9.24","White",72,3,4,8,12
"11.9.24","College",75,3,4,7,11
"11.9.24","No College",68,3,5,9,15
"11.9.24","Rural",71,3,5,8,13
"11.9.24","Suburban",71,3,5,8,14
"11.9.24","Urban",69,3,5,8,15
"11.9.24","Alabama",70,3,5,8,14
"11.9.24","Alaska",71,3,5,8,13
"11.9.24","Arizona",70,3,5,8,14
"11.9.24","Arkansas",71,3,5,8,13
"11.9.24","California",69,3,5,8,15
"11.9.24","Colorado",70,3,5,8,14
"11.9.24","Connecticut",72,3,4,8,13
"11.9.24","Delaware",72,3,4,8,13
"11.9.24","District of Columbia",71,3,5,8,13
"11.9.24","Florida",70,3,5,8,14
"11.9.24","Georgia",68,3,5,8,15
"11.9.24","Hawaii",69,3,5,8,14
"11.9.24","Idaho",71,3,5,8,13
"11.9.24","Illinois",70,3,5,8,14
"11.9.24","Indiana",70,3,5,8,14
"11.9.24","Iowa",71,3,5,8,13
"11.9.24","Kansas",69,3,5,8,14
"11.9.24","Kentucky",71,3,5,8,13
"11.9.24","Louisiana",69,3,5,8,15
"11.9.24","Maine",74,3,4,7,11
"11.9.24","Maryland",70,3,5,8,14
"11.9.24","Massachusetts",72,3,4,7,13
"11.9.24","Michigan",70,3,5,8,14
"11.9.24","Minnesota",72,3,4,8,13
"11.9.24","Mississippi",73,3,4,8,12
"11.9.24","Missouri",70,3,5,8,14
"11.9.24","Montana",72,3,5,8,13
