"Date","Demographic.Level","Extremely.motivated","Not.at.all.motivated","Not.very.motivated","Somewhat.motivated","Very.motivated"
"13.8.24","National",62,4,6,11,17
"13.8.24","Democrat",66,4,6,10,14
"13.8.24","Independent",52,4,7,13,23
"13.8.24","Republican",63,4,6,11,16
"13.8.24","18-24",37,4,8,16,35
"13.8.24","25-34",41,4,8,15,31
"13.8.24","35-44",57,4,7,12,19
"13.8.24","45-54",60,4,7,11,17
"13.8.24","55-64",65,4,6,10,15
"13.8.24","65+",72,4,5,8,11
"13.8.24","Female",66,4,6,10,14
"13.8.24","Gender Expansive",37,4,7,15,36
"13.8.24","Male",58,4,7,12,19
"13.8.24","African American",52,4,7,13,23
"13.8.24","Asian",54,4,7,13,22
"13.8.24","Hispanic",59,4,6,11,18
"13.8.24","White",65,4,6,10,15
"13.8.24","College",68,4,6,9,13
"13.8.24","No College",59,4,6,11,19
"13.8.24","Rural",64,4,6,10,16
"13.8.24","Suburban",63,4,6,11,16
"13.8.24","Urban",60,4,6,11,18
"13.8.24","Alabama",61,4,6,11,17
"13.8.24","Alaska",65,4,6,10,15
"13.8.24","Arizona",62,4,6,11,17
"13.8.24","Arkansas",64,4,6,10,16
"13.8.24","California",61,4,6,11,18
"13.8.24","Colorado",62,4,6,11,17
"13.8.24","Connecticut",64,4,6,10,15
"13.8.24","Delaware",65,4,6,10,15
"13.8.24","District of Columbia",62,4,6,11,17
"13.8.24","Florida",62,4,6,11,17
"13.8.24","Georgia",60,4,6,11,18
"13.8.24","Hawaii",65,4,6,10,15
"13.8.24","Idaho",63,4,6,11,16
"13.8.24","Illinois",62,4,6,11,17
"13.8.24","Indiana",63,4,6,11,17
"13.8.24","Iowa",64,4,6,10,16
"13.8.24","Kansas",62,4,6,11,17
"13.8.24","Kentucky",63,4,6,11,16
"13.8.24","Louisiana",60,4,6,11,18
"13.8.24","Maine",67,4,6,9,14
"13.8.24","Maryland",62,4,6,11,17
"13.8.24","Massachusetts",65,4,6,10,15
"13.8.24","Michigan",62,4,6,11,17
"13.8.24","Minnesota",65,4,6,10,15
"13.8.24","Mississippi",65,4,6,10,15
"13.8.24","Missouri",62,4,6,11,17
"13.8.24","Montana",65,4,6,10,15
"13.8.24","Nebraska",63,4,6,11,16
"13.8.24","Nevada",61,4,6,11,18
"13.8.24","New Hampshire",70,4,5,9,12
"13.8.24","New Jersey",62,4,6,11,17
"13.8.24","New Mexico",64,4,6,10,16
"13.8.24","New York",62,4,6,11,17
"13.8.24","North Carolina",62,4,6,11,17
"13.8.24","North Dakota",67,4,6,10,14
"13.8.24","Ohio",64,4,6,10,16
"13.8.24","Oklahoma",64,4,6,10,16
"13.8.24","Oregon",64,4,6,10,16
"13.8.24","Pennsylvania",64,4,6,10,16
"13.8.24","Rhode Island",63,4,6,11,16
"13.8.24","South Carolina",62,4,6,11,17
"13.8.24","South Dakota",67,4,6,10,14
"13.8.24","Tennessee",63,4,6,11,16
"13.8.24","Texas",60,4,6,11,18
"13.8.24","Utah",63,4,6,11,16
"13.8.24","Vermont",68,4,6,9,13
"13.8.24","Virginia",62,4,6,11,17
"13.8.24","Washington",62,4,6,11,17
"13.8.24","West Virginia",65,4,6,10,15
"13.8.24","Wisconsin",67,4,6,10,14
"13.8.24","Wyoming",67,4,6,10,14
"27.8.24","National",64,4,7,11,15
"27.8.24","Democrat",67,4,6,10,13
"27.8.24","Independent",54,5,8,13,20
"27.8.24","Republican",64,4,7,11,14
"27.8.24","18-24",36,5,9,17,34
"27.8.24","25-34",47,5,8,15,24
"27.8.24","35-44",51,5,8,14,22
"27.8.24","45-54",56,5,8,13,19
"27.8.24","55-64",68,4,6,9,12
"27.8.24","65+",76,3,5,7,8
"27.8.24","Female",65,4,6,10,14
"27.8.24","Gender Expansive",60,5,7,12,16
"27.8.24","Male",62,4,7,11,16
"27.8.24","African American",53,5,8,13,21
"27.8.24","Asian",54,5,8,13,21
"27.8.24","Hispanic",61,4,7,11,16
"27.8.24","White",67,4,6,10,13
"27.8.24","College",66,4,7,10,14
"27.8.24","No College",63,4,7,11,16
"27.8.24","Rural",64,4,7,10,15
"27.8.24","Suburban",64,4,7,10,15
"27.8.24","Urban",62,4,7,11,16
"27.8.24","Alabama",62,4,7,11,16
"27.8.24","Alaska",66,4,6,10,13
"27.8.24","Arizona",64,4,7,11,15
"27.8.24","Arkansas",65,4,7,10,14
"27.8.24","California",62,4,7,11,16
"27.8.24","Colorado",62,4,7,11,15
"27.8.24","Connecticut",65,4,7,10,14
"27.8.24","Delaware",66,4,6,10,14
"27.8.24","District of Columbia",64,4,7,11,15
"27.8.24","Florida",64,4,7,10,15
"27.8.24","Georgia",61,4,7,11,17
"27.8.24","Hawaii",67,4,6,10,13
"27.8.24","Idaho",65,4,7,10,14
"27.8.24","Illinois",64,4,7,11,15
"27.8.24","Indiana",64,4,7,11,15
"27.8.24","Iowa",65,4,7,10,14
"27.8.24","Kansas",63,4,7,11,15
"27.8.24","Kentucky",64,4,7,10,14
"27.8.24","Louisiana",61,4,7,11,16
"27.8.24","Maine",68,4,6,9,12
"27.8.24","Maryland",62,4,7,11,16
"27.8.24","Massachusetts",66,4,6,10,14
"27.8.24","Michigan",63,4,7,11,15
"27.8.24","Minnesota",66,4,6,10,14
"27.8.24","Mississippi",66,4,6,10,13
"27.8.24","Missouri",63,4,7,11,15
"27.8.24","Montana",66,4,7,10,14
"27.8.24","Nebraska",64,4,7,10,14
"27.8.24","Nevada",63,4,7,11,15
"27.8.24","New Hampshire",71,4,6,9,11
"27.8.24","New Jersey",63,4,7,11,15
"27.8.24","New Mexico",65,4,7,10,14
"27.8.24","New York",63,4,7,11,15
"27.8.24","North Carolina",62,4,7,11,16
"27.8.24","North Dakota",68,4,6,9,12
"27.8.24","Ohio",65,4,7,10,14
"27.8.24","Oklahoma",65,4,7,10,14
"27.8.24","Oregon",65,4,7,10,14
"27.8.24","Pennsylvania",65,4,7,10,14
"27.8.24","Rhode Island",65,4,7,10,14
"27.8.24","South Carolina",63,4,7,11,15
"27.8.24","South Dakota",68,4,6,10,13
"27.8.24","Tennessee",64,4,7,11,15
"27.8.24","Texas",62,4,7,11,16
"27.8.24","Utah",65,4,7,10,14
"27.8.24","Vermont",69,4,6,9,12
"27.8.24","Virginia",62,4,7,11,16
"27.8.24","Washington",63,4,7,11,15
"27.8.24","West Virginia",66,4,6,10,14
"27.8.24","Wisconsin",69,4,6,9,12
"27.8.24","Wyoming",69,4,6,9,12
"11.9.24","National",63,4,7,10,15
"11.9.24","Democrat",66,4,7,10,13
"11.9.24","Independent",54,4,8,13,21
"11.9.24","Republican",64,4,7,10,15
"11.9.24","18-24",38,4,9,16,32
"11.9.24","25-34",46,4,9,15,26
"11.9.24","35-44",54,4,9,13,20
"11.9.24","45-54",59,4,8,12,17
"11.9.24","55-64",65,4,7,10,13
"11.9.24","65+",74,3,6,8,9
"11.9.24","Female",65,4,7,10,14
"11.9.24","Gender Expansive",66,4,7,10,13
